X,Y,amenity,building,name,addr:street,addr:housenumber,brand,addr:postcode,addr:city,website,operator,fuel:diesel,addr:state,brand:wikidata,brand:wikipedia,opening_hours,designation,phone,shop,fuel:octane_87,fuel:octane_92,layer,addr:country,fuel:octane_89,fuel:octane_91,is_in,building:levels,access,name:en,membership,fuel:e10,fuel:biodiesel
-119.43456625,48.93928925,fuel,commercial,76,1501 Main St,1501,Union 76,98844-9372,Oroville,,,,,,,,,+1-509-476-2161,convenience,,,,,,,,,,,,,
-122.63788125,47.7472519,fuel,commercial,76,Northeast Forest Rock Lane,1010,76,98370,Poulsbo,,,,,,,,,,,,,,US,,,,,,76,,,
-120.4475211,46.60599345,fuel,commercial,7-Eleven,,,7-11,,,,,,,,,24/7,,,yes,,no,,,,,,,,,,,
-122.206557949995,47.9075561973905,fuel,commercial,ARCO,19th Avenue Southeast,9931,ARCO,98208,Everett,https://arco.com,,,,,,24/7,,+1-360-603-4142,,,,,,,,,1,,,,,
-122.28080945,47.75211915,fuel,commercial,ARCO,,,,,,https://www.arco.com/,,,,,,24/7,,,,,,,,,,,,,,,,
-123.06849230021,48.999900700013,fuel,commercial,CanAm Gas,Tyee Drive,365,,,,,,,,,,,,,,,,,,,,,,,,,,
-122.184362404233,47.7434227000141,fuel,commercial,Chevron,116th Avenue Northeast,15900,,98011,Bothell,,,,,,,,,,,,,,,,,,,,,,,
-119.435020763973,48.9460574511067,fuel,commercial,Chevron,Main Street,2020,,98844,Oroville,,,,,,,,,+1-,convenience,,,,,,,,,,,,,
-122.604872403987,47.3586433499535,fuel,commercial,Costco Gasoline,Harbor Hill Drive,10990,Costco Gasoline,98332,Gig Harbor,,Costco,,WA,Q715583,en:Costco,,,,,,,,,,,,1,customers,,yes,,
-118.505667932092,48.9964919000435,fuel,commercial,Danville Market,WA-21,19097,,99121,Danville,,,,,,,,,+1-509-779-0146,convenience,,,,,,,,,,,,,
-122.485657124943,48.7908367494426,fuel,commercial,Meridian Super Mart,Meridian St,4130,,98226,Bellingham,,,,,,,,,+1-360-671-3237,,,,,,,,,,,,,,
-119.434981591111,48.9482761106444,fuel,commercial,Quick Stop,Juniper Drive,2208,,98844,Oroville,,,,,,,,,+1-,convenience,,,,,,,,,,,,,
-122.460378942385,48.7726819201246,fuel,commercial,Safeway,E Sunset Dr,1189,Safeway,98226,Bellingham,,Safeway,,,Q1508234,en:Safeway Inc.,Mo-Su 06:00-22:00,,,,,,,,,,,1,,,,,
-122.5776499261,47.3019469504072,fuel,commercial,Safeway,,,Safeway,,,,,,,Q1508234,en:Safeway Inc.,,,,,,,,,,,,,,,,,
-122.793199497964,48.10354005,fuel,commercial,Sea Breeze,West Sims Way,1408,Shell,98368,Port Townsend,,,yes,WA,,,,,,convenience,,,,,,,,,,,,,
-122.485673125033,48.7865904001648,fuel,commercial,Shell,Guide Meridian St,3970,,98225,Bellingham,,,,,,,,,+1-360-647-8283,,,,,,,,,,,,,,
