Fuel Type,County,Antique,Antique Travel Trailer,Camper,Combination Farm,Combination Non Farm,Commercial,Commercial Motorcycle Trailer,Converter Gear,Farm,Farm Exempt,Federal,Federal Motorcycle Trailer,Fixed Load,For Hire,Government Exempt,House Dolly,Intermittent Trailer,Logging,Medium Electric Passenger,Medium Electric Truck,Mobile Home,Moped,Motorcycle,Motorhome,Neighborhood Electric Passenger,Neighborhood Electric Truck,Off Road Vehicle,Passenger Vehicle,Private School,Snowmobile,Snowmobile Exempt,Snowmobile Vintage,Stage,Taxi Cab,Tow Truck,Trailer,Travel Trailer,Truck,WATV,Total
Electricity Powered,01 ADAMS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,1,0,6
Electricity Powered,02 ASOTIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,13
Electricity Powered,03 BENTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,2,1,9,0,1,191,0,0,0,0,0,0,0,0,0,13,0,227
Electricity Powered,04 CHELAN,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3,0,10,1,0,91,0,0,0,0,0,0,0,0,0,4,0,116
Electricity Powered,05 CLALLAM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,2,0,0,112,0,0,0,0,0,0,0,0,0,0,0,120
Electricity Powered,06 CLARK,1,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,1,15,0,0,11,4,12,0,0,1236,0,0,0,0,0,0,0,0,0,19,1,1304
Electricity Powered,07 COLUMBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,4
Electricity Powered,08 COWLITZ,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,0,1,62,0,0,0,0,0,0,0,0,0,3,0,73
Electricity Powered,09 DOUGLAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,54,0,0,0,0,0,0,0,0,0,2,0,62
Electricity Powered,10 FERRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
Electricity Powered,11 FRANKLIN,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,40,0,0,0,0,0,0,0,0,0,17,0,62
Electricity Powered,12 GARFIELD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Electricity Powered,13 GRANT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,16,2,0,24,0,0,0,0,0,0,0,0,0,5,0,53
Electricity Powered,14 GRAYS HARBOR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,1,1,12,0,0,43,0,0,0,0,0,0,0,0,0,17,0,80
Electricity Powered,15 ISLAND,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,163,0,0,0,0,0,0,0,0,0,6,0,175
Electricity Powered,16 JEFFERSON,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,2,4,0,7,1,0,112,0,0,0,0,0,0,0,0,0,2,1,134
Electricity Powered,17 KING,1,0,0,0,1,53,0,0,0,0,0,0,0,7,102,0,0,0,24,56,0,18,93,3,82,34,6,19353,0,0,0,0,0,0,0,0,0,180,5,20018
Electricity Powered,18 KITSAP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,5,0,6,9,1,6,0,2,857,0,0,0,0,0,0,0,0,0,23,4,917
Electricity Powered,19 KITTITAS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,2,0,0,0,0,32,0,0,0,0,0,0,0,0,0,3,1,41
Electricity Powered,20 KLICKITAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,1,0,14
Electricity Powered,21 LEWIS,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,1,2,1,1,0,0,48,0,0,0,0,0,0,0,0,0,2,1,62
Electricity Powered,22 LINCOLN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
Electricity Powered,23 MASON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,1,0,1,78,0,0,0,0,0,0,0,0,0,3,0,88
Electricity Powered,24 OKANOGAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,1,0,16
Electricity Powered,25 PACIFIC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,12,0,0,0,0,0,0,0,0,0,2,0,16
Electricity Powered,26 PEND OREILLE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6
Electricity Powered,27 PIERCE,0,0,0,0,0,6,0,0,0,1,0,0,0,0,8,0,0,0,4,28,0,4,14,2,16,2,1,1476,0,0,0,0,0,0,0,0,0,101,0,1663
Electricity Powered,28 SAN JUAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,1,0,0,2,0,16,0,0,137,0,0,0,0,0,0,0,0,0,1,1,162
Electricity Powered,29 SKAGIT,0,0,0,0,0,4,0,0,0,1,0,0,0,0,1,0,0,0,3,2,0,2,2,0,9,1,3,292,0,0,0,0,0,0,0,0,0,11,5,336
Electricity Powered,30 SKAMANIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,13
Electricity Powered,31 SNOHOMISH,0,0,0,0,0,25,0,0,1,0,0,0,0,0,6,0,0,0,7,18,0,10,30,6,23,3,1,4083,0,0,0,0,0,0,0,0,0,111,1,4325
Electricity Powered,32 SPOKANE,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,0,0,0,20,0,0,8,2,14,3,2,438,0,0,0,0,0,0,0,0,0,27,0,519
Electricity Powered,33 STEVENS,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,15
Electricity Powered,34 THURSTON,1,0,0,0,0,5,0,0,0,0,0,0,0,0,19,0,0,0,5,4,0,1,6,0,6,1,0,571,0,0,0,0,0,0,0,0,0,49,0,668
Electricity Powered,35 WAHKIAKUM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3
Electricity Powered,36 WALLA WALLA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,2,0,40
