Rank,County,Population
1,King,2252305
2,Pierce,925708
3,Snohomish,833540
4,Spokane,546040
5,Clark,511404
6,Thurston,297977
7,Kitsap,274314
8,Yakima,256035
9,Whatcom,228831
10,Benton,210025
11,Skagit,130696
12,Cowlitz,111524
13,Grant,100297
14,Franklin,98268
15,Island,87432
16,Lewis,84398
17,Chelan,79646
18,Clallam,78209
19,Grays Harbor,76841
20,Mason,67615
21,Walla Walla,62682
22,Whitman,47873
23,Stevens,47426
24,Kittitas,45499
25,Douglas,43696
26,Okanogan,42634
27,Jefferson,33605
28,Pacific,23948
29,Klickitat,23118
30,Asotin,22397
31,Adams,20621
32,San Juan,18557
33,Pend Oreille,13886
34,Skamania,12170
35,Lincoln,11232
36,Ferry,7273
37,Wahkiakum,4582
38,Columbia,4042
39,Garfield,2346
