"Label (Grouping)","Alabama!!Estimate","Alabama!!Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","5,039,877","*****","5,039,877","(X)","732,673","*****","732,673","(X)","7,276,316","*****","7,276,316","(X)","3,025,891","*****","3,025,891","(X)","39,237,836","*****","39,237,836","(X)","5,812,069","*****","5,812,069","(X)","3,605,597","*****","3,605,597","(X)","1,003,384","*****","1,003,384","(X)","670,050","*****","670,050","(X)","21,781,128","*****","21,781,128","(X)","10,799,566","*****","10,799,566","(X)","1,441,553","*****","1,441,553","(X)","1,900,923","*****","1,900,923","(X)","12,671,469","*****","12,671,469","(X)","6,805,985","*****","6,805,985","(X)","3,193,079","*****","3,193,079","(X)","2,934,582","*****","2,934,582","(X)","4,509,394","*****","4,509,394","(X)","4,624,047","*****","4,624,047","(X)","1,372,247","*****","1,372,247","(X)","6,165,129","*****","6,165,129","(X)","6,984,723","*****","6,984,723","(X)","10,050,811","*****","10,050,811","(X)","5,707,390","*****","5,707,390","(X)","2,949,965","*****","2,949,965","(X)","6,168,187","*****","6,168,187","(X)","1,104,271","*****","1,104,271","(X)","1,963,692","*****","1,963,692","(X)","3,143,991","*****","3,143,991","(X)","1,388,992","*****","1,388,992","(X)","9,267,130","*****","9,267,130","(X)","2,115,877","*****","2,115,877","(X)","19,835,913","*****","19,835,913","(X)","10,551,162","*****","10,551,162","(X)","774,948","*****","774,948","(X)","11,780,017","*****","11,780,017","(X)","3,986,639","*****","3,986,639","(X)","4,246,155","*****","4,246,155","(X)","12,964,056","*****","12,964,056","(X)","1,095,610","*****","1,095,610","(X)","5,190,705","*****","5,190,705","(X)","895,376","*****","895,376","(X)","6,975,218","*****","6,975,218","(X)","29,527,941","*****","29,527,941","(X)","3,337,975","*****","3,337,975","(X)","645,570","*****","645,570","(X)","8,642,274","*****","8,642,274","(X)","7,738,692","*****","7,738,692","(X)","1,782,959","*****","1,782,959","(X)","5,895,908","*****","5,895,908","(X)","578,803","*****","578,803","(X)","3,263,584","*****","3,263,584","(X)"
"        Male","2,445,896","±5,868","48.5%","±0.1","383,121","±2,429","52.3%","±0.3","3,629,620","±2,852","49.9%","±0.1","1,493,681","±4,590","49.4%","±0.2","19,618,934","±6,432","50.0%","±0.1","2,943,037","±3,980","50.6%","±0.1","1,768,045","±2,237","49.0%","±0.1","485,908","±1,201","48.4%","±0.1","319,025","±601","47.6%","±0.1","10,714,520","±8,241","49.2%","±0.1","5,270,144","±9,361","48.8%","±0.1","725,604","±1,927","50.3%","±0.1","954,313","±2,981","50.2%","±0.2","6,264,364","±4,540","49.4%","±0.1","3,374,931","±5,087","49.6%","±0.1","1,603,267","±3,906","50.2%","±0.1","1,474,610","±4,717","50.2%","±0.2","2,229,328","±4,568","49.4%","±0.1","2,260,866","±6,153","48.9%","±0.1","673,483","±1,978","49.1%","±0.1","3,003,091","±2,917","48.7%","±0.1","3,408,252","±2,603","48.8%","±0.1","4,976,869","±4,298","49.5%","±0.1","2,860,668","±3,670","50.1%","±0.1","1,435,423","±5,530","48.7%","±0.2","3,045,181","±5,481","49.4%","±0.1","560,911","±2,382","50.8%","±0.2","986,019","±2,695","50.2%","±0.1","1,585,207","±2,385","50.4%","±0.1","693,234","±1,796","49.9%","±0.1","4,563,560","±3,087","49.2%","±0.1","1,052,355","±4,637","49.7%","±0.2","9,696,573","±5,103","48.9%","±0.1","5,149,323","±8,160","48.8%","±0.1","399,544","±3,005","51.6%","±0.4","5,808,575","±5,120","49.3%","±0.1","1,984,707","±3,699","49.8%","±0.1","2,121,532","±4,133","50.0%","±0.1","6,399,632","±4,580","49.4%","±0.1","536,589","±1,755","49.0%","±0.2","2,521,689","±5,263","48.6%","±0.1","451,950","±2,694","50.5%","±0.3","3,413,181","±5,931","48.9%","±0.1","14,739,011","±10,620","49.9%","±0.1","1,694,770","±3,271","50.8%","±0.1","320,293","±1,405","49.6%","±0.2","4,273,931","±6,076","49.5%","±0.1","3,897,320","±3,977","50.4%","±0.1","887,360","±3,680","49.8%","±0.2","2,955,249","±3,835","50.1%","±0.1","296,007","±2,518","51.1%","±0.4","1,543,991","±3,969","47.3%","±0.1"
"        Female","2,593,981","±5,868","51.5%","±0.1","349,552","±2,429","47.7%","±0.3","3,646,696","±2,852","50.1%","±0.1","1,532,210","±4,590","50.6%","±0.2","19,618,902","±6,432","50.0%","±0.1","2,869,032","±3,980","49.4%","±0.1","1,837,552","±2,237","51.0%","±0.1","517,476","±1,201","51.6%","±0.1","351,025","±601","52.4%","±0.1","11,066,608","±8,241","50.8%","±0.1","5,529,422","±9,361","51.2%","±0.1","715,949","±1,927","49.7%","±0.1","946,610","±2,981","49.8%","±0.2","6,407,105","±4,540","50.6%","±0.1","3,431,054","±5,087","50.4%","±0.1","1,589,812","±3,906","49.8%","±0.1","1,459,972","±4,717","49.8%","±0.2","2,280,066","±4,568","50.6%","±0.1","2,363,181","±6,153","51.1%","±0.1","698,764","±1,978","50.9%","±0.1","3,162,038","±2,917","51.3%","±0.1","3,576,471","±2,603","51.2%","±0.1","5,073,942","±4,298","50.5%","±0.1","2,846,722","±3,670","49.9%","±0.1","1,514,542","±5,530","51.3%","±0.2","3,123,006","±5,481","50.6%","±0.1","543,360","±2,382","49.2%","±0.2","977,673","±2,695","49.8%","±0.1","1,558,784","±2,385","49.6%","±0.1","695,758","±1,796","50.1%","±0.1","4,703,570","±3,087","50.8%","±0.1","1,063,522","±4,637","50.3%","±0.2","10,139,340","±5,103","51.1%","±0.1","5,401,839","±8,160","51.2%","±0.1","375,404","±3,005","48.4%","±0.4","5,971,442","±5,120","50.7%","±0.1","2,001,932","±3,699","50.2%","±0.1","2,124,623","±4,133","50.0%","±0.1","6,564,424","±4,580","50.6%","±0.1","559,021","±1,755","51.0%","±0.2","2,669,016","±5,263","51.4%","±0.1","443,426","±2,694","49.5%","±0.3","3,562,037","±5,931","51.1%","±0.1","14,788,930","±10,620","50.1%","±0.1","1,643,205","±3,271","49.2%","±0.1","325,277","±1,405","50.4%","±0.2","4,368,343","±6,076","50.5%","±0.1","3,841,372","±3,977","49.6%","±0.1","895,599","±3,680","50.2%","±0.2","2,940,659","±3,835","49.9%","±0.1","282,796","±2,518","48.9%","±0.4","1,719,593","±3,969","52.7%","±0.1"
"        Sex ratio (males per 100 females)","94.3","±0.4","(X)","(X)","109.6","±1.5","(X)","(X)","99.5","±0.2","(X)","(X)","97.5","±0.6","(X)","(X)","100.0","±0.1","(X)","(X)","102.6","±0.3","(X)","(X)","96.2","±0.2","(X)","(X)","93.9","±0.5","(X)","(X)","90.9","±0.3","(X)","(X)","96.8","±0.1","(X)","(X)","95.3","±0.3","(X)","(X)","101.3","±0.5","(X)","(X)","100.8","±0.6","(X)","(X)","97.8","±0.1","(X)","(X)","98.4","±0.3","(X)","(X)","100.8","±0.5","(X)","(X)","101.0","±0.6","(X)","(X)","97.8","±0.4","(X)","(X)","95.7","±0.5","(X)","(X)","96.4","±0.6","(X)","(X)","95.0","±0.2","(X)","(X)","95.3","±0.1","(X)","(X)","98.1","±0.2","(X)","(X)","100.5","±0.3","(X)","(X)","94.8","±0.7","(X)","(X)","97.5","±0.3","(X)","(X)","103.2","±0.9","(X)","(X)","100.9","±0.6","(X)","(X)","101.7","±0.3","(X)","(X)","99.6","±0.5","(X)","(X)","97.0","±0.1","(X)","(X)","98.9","±0.9","(X)","(X)","95.6","±0.1","(X)","(X)","95.3","±0.3","(X)","(X)","106.4","±1.7","(X)","(X)","97.3","±0.2","(X)","(X)","99.1","±0.4","(X)","(X)","99.9","±0.4","(X)","(X)","97.5","±0.1","(X)","(X)","96.0","±0.6","(X)","(X)","94.5","±0.4","(X)","(X)","101.9","±1.2","(X)","(X)","95.8","±0.3","(X)","(X)","99.7","±0.1","(X)","(X)","103.1","±0.4","(X)","(X)","98.5","±0.9","(X)","(X)","97.8","±0.3","(X)","(X)","101.5","±0.2","(X)","(X)","99.1","±0.8","(X)","(X)","100.5","±0.3","(X)","(X)","104.7","±1.8","(X)","(X)","89.8","±0.4","(X)","(X)"
"        Under 5 years","290,091","±3,556","5.8%","±0.1","46,198","±1,366","6.3%","±0.2","402,255","±1,323","5.5%","±0.1","179,924","±3,053","5.9%","±0.1","2,210,235","±3,728","5.6%","±0.1","307,837","±2,141","5.3%","±0.1","177,577","±1,265","4.9%","±0.1","53,039","±117","5.3%","±0.1","40,809","±158","6.1%","±0.1","1,091,954","±3,377","5.0%","±0.1","625,969","±5,877","5.8%","±0.1","81,220","±642","5.6%","±0.1","113,051","±2,177","5.9%","±0.1","703,551","±2,466","5.6%","±0.1","408,030","±2,788","6.0%","±0.1","187,257","±2,354","5.9%","±0.1","177,567","±2,004","6.1%","±0.1","259,278","±2,485","5.7%","±0.1","281,958","±3,450","6.1%","±0.1","61,034","±702","4.4%","±0.1","350,650","±1,725","5.7%","±0.1","346,175","±1,270","5.0%","±0.1","545,979","±2,060","5.4%","±0.1","330,734","±2,456","5.8%","±0.1","173,282","±3,978","5.9%","±0.1","353,946","±2,667","5.7%","±0.1","56,091","±1,417","5.1%","±0.1","124,596","±1,388","6.3%","±0.1","177,077","±1,507","5.6%","±0.1","62,220","±1,078","4.5%","±0.1","516,200","±1,289","5.6%","±0.1","115,102","±2,415","5.4%","±0.1","1,092,698","±2,725","5.5%","±0.1","582,801","±4,795","5.5%","±0.1","51,150","±1,339","6.6%","±0.2","668,935","±2,611","5.7%","±0.1","241,605","±2,549","6.1%","±0.1","210,330","±1,845","5.0%","±0.1","678,078","±2,801","5.2%","±0.1","52,767","±574","4.8%","±0.1","275,793","±3,108","5.3%","±0.1","58,079","±1,371","6.5%","±0.2","397,258","±3,438","5.7%","±0.1","1,891,627","±5,035","6.4%","±0.1","234,281","±1,199","7.0%","±0.1","27,160","±604","4.2%","±0.1","480,992","±4,000","5.6%","±0.1","432,524","±2,370","5.6%","±0.1","88,784","±2,003","5.0%","±0.1","315,264","±2,316","5.3%","±0.1","30,233","±928","5.2%","±0.2","103,841","±2,131","3.2%","±0.1"
"        5 to 9 years","298,540","±7,263","5.9%","±0.1","52,071","±3,487","7.1%","±0.5","446,309","±9,192","6.1%","±0.1","196,276","±5,842","6.5%","±0.2","2,358,988","±20,486","6.0%","±0.1","336,492","±8,474","5.8%","±0.1","196,796","±5,857","5.5%","±0.2","58,410","±3,512","5.8%","±0.4","35,833","±3,164","5.3%","±0.5","1,146,199","±17,592","5.3%","±0.1","665,082","±13,743","6.2%","±0.1","83,657","±3,820","5.8%","±0.3","129,930","±5,369","6.8%","±0.3","786,184","±10,499","6.2%","±0.1","427,997","±9,227","6.3%","±0.1","201,486","±6,024","6.3%","±0.2","192,659","±5,209","6.6%","±0.2","278,095","±7,145","6.2%","±0.2","296,065","±8,820","6.4%","±0.2","69,073","±3,394","5.0%","±0.2","374,919","±6,746","6.1%","±0.1","365,253","±7,792","5.2%","±0.1","585,574","±9,671","5.8%","±0.1","359,171","±8,089","6.3%","±0.1","176,878","±6,588","6.0%","±0.2","375,051","±7,174","6.1%","±0.1","67,195","±3,289","6.1%","±0.3","131,276","±4,261","6.7%","±0.2","190,763","±6,560","6.1%","±0.2","67,409","±3,412","4.9%","±0.2","551,684","±10,283","6.0%","±0.1","129,840","±5,507","6.1%","±0.3","1,107,024","±16,479","5.6%","±0.1","617,727","±11,408","5.9%","±0.1","51,932","±2,775","6.7%","±0.4","716,330","±12,291","6.1%","±0.1","266,404","±5,308","6.7%","±0.1","234,955","±6,169","5.5%","±0.1","723,022","±12,228","5.6%","±0.1","55,659","±3,426","5.1%","±0.3","308,096","±9,989","5.9%","±0.2","63,078","±3,420","7.0%","±0.4","425,066","±9,381","6.1%","±0.1","2,055,807","±22,010","7.0%","±0.1","264,290","±6,733","7.9%","±0.2","30,530","±1,919","4.7%","±0.3","514,219","±11,153","6.0%","±0.1","467,851","±8,992","6.0%","±0.1","97,530","±4,703","5.5%","±0.3","344,082","±6,390","5.8%","±0.1","36,056","±2,342","6.2%","±0.4","150,197","±5,863","4.6%","±0.2"
"        10 to 14 years","337,730","±8,859","6.7%","±0.2","52,507","±3,189","7.2%","±0.4","476,245","±8,743","6.5%","±0.1","204,485","±5,616","6.8%","±0.2","2,647,372","±19,529","6.7%","±0.1","374,046","±8,176","6.4%","±0.1","212,689","±6,282","5.9%","±0.2","59,908","±3,647","6.0%","±0.4","33,735","±3,162","5.0%","±0.5","1,291,404","±17,669","5.9%","±0.1","777,105","±16,597","7.2%","±0.2","91,875","±4,003","6.4%","±0.3","142,097","±5,695","7.5%","±0.3","805,013","±10,337","6.4%","±0.1","469,282","±9,174","6.9%","±0.1","216,296","±5,871","6.8%","±0.2","209,418","±5,647","7.1%","±0.2","299,116","±7,248","6.6%","±0.2","320,217","±8,971","6.9%","±0.2","73,257","±3,231","5.3%","±0.2","397,263","±6,832","6.4%","±0.1","401,988","±7,894","5.8%","±0.1","632,071","±9,497","6.3%","±0.1","388,627","±7,203","6.8%","±0.1","217,287","±6,218","7.4%","±0.2","412,491","±7,264","6.7%","±0.1","70,386","±3,566","6.4%","±0.3","144,006","±4,230","7.3%","±0.2","208,610","±6,129","6.6%","±0.2","78,890","±3,566","5.7%","±0.3","592,878","±10,162","6.4%","±0.1","142,722","±5,360","6.7%","±0.3","1,192,942","±16,223","6.0%","±0.1","689,760","±11,678","6.5%","±0.1","51,739","±2,557","6.7%","±0.3","758,004","±11,003","6.4%","±0.1","282,920","±5,231","7.1%","±0.1","260,324","±6,551","6.1%","±0.2","796,302","±11,858","6.1%","±0.1","61,626","±3,517","5.6%","±0.3","330,103","±10,566","6.4%","±0.2","62,294","±3,235","7.0%","±0.4","445,462","±9,991","6.4%","±0.1","2,206,526","±22,391","7.5%","±0.1","277,848","±6,780","8.3%","±0.2","37,604","±2,112","5.8%","±0.3","559,020","±10,820","6.5%","±0.1","492,114","±8,458","6.4%","±0.1","110,454","±5,257","6.2%","±0.3","384,146","±6,503","6.5%","±0.1","41,288","±2,449","7.1%","±0.4","176,442","±5,847","5.4%","±0.2"
"        15 to 19 years","338,347","±6,494","6.7%","±0.1","50,263","±2,913","6.9%","±0.4","482,998","±3,419","6.6%","±0.1","206,963","±4,997","6.8%","±0.2","2,579,680","±8,149","6.6%","±0.1","375,792","±4,846","6.5%","±0.1","244,686","±2,969","6.8%","±0.1","63,288","±1,569","6.3%","±0.2","35,516","±1,779","5.3%","±0.3","1,245,029","±8,955","5.7%","±0.1","771,330","±9,626","7.1%","±0.1","76,899","±1,494","5.3%","±0.1","138,443","±3,670","7.3%","±0.2","843,352","±6,324","6.7%","±0.1","472,765","±5,191","6.9%","±0.1","225,888","±4,293","7.1%","±0.1","209,868","±4,741","7.2%","±0.2","306,094","±5,947","6.8%","±0.1","302,036","±7,367","6.5%","±0.2","76,221","±1,810","5.6%","±0.1","390,410","±4,229","6.3%","±0.1","460,404","±3,965","6.6%","±0.1","656,015","±4,862","6.5%","±0.1","376,524","±3,850","6.6%","±0.1","215,082","±6,385","7.3%","±0.2","411,180","±5,717","6.7%","±0.1","68,883","±2,661","6.2%","±0.2","137,800","±2,715","7.0%","±0.1","189,336","±2,605","6.0%","±0.1","85,699","±2,071","6.2%","±0.1","579,783","±3,417","6.3%","±0.1","145,753","±3,980","6.9%","±0.2","1,216,068","±5,700","6.1%","±0.1","709,711","±9,195","6.7%","±0.1","52,465","±2,544","6.8%","±0.3","771,242","±5,350","6.5%","±0.1","277,643","±4,862","7.0%","±0.1","255,395","±4,252","6.0%","±0.1","819,892","±5,228","6.3%","±0.1","74,948","±1,838","6.8%","±0.2","351,834","±5,756","6.8%","±0.1","63,224","±2,816","7.1%","±0.3","449,515","±8,034","6.4%","±0.1","2,136,373","±12,856","7.2%","±0.1","270,529","±3,955","8.1%","±0.1","41,810","±1,507","6.5%","±0.2","570,825","±7,275","6.6%","±0.1","463,399","±5,226","6.0%","±0.1","108,222","±3,479","6.1%","±0.2","388,505","±3,693","6.6%","±0.1","40,161","±2,401","6.9%","±0.4","205,814","±5,445","6.3%","±0.2"
"        20 to 24 years","323,961","±5,987","6.4%","±0.1","45,855","±1,975","6.3%","±0.3","488,212","±3,443","6.7%","±0.1","200,480","±4,206","6.6%","±0.1","2,531,692","±7,149","6.5%","±0.1","373,720","±5,467","6.4%","±0.1","239,473","±2,774","6.6%","±0.1","57,635","±1,543","5.7%","±0.2","45,383","±1,780","6.8%","±0.3","1,244,420","±8,900","5.7%","±0.1","725,809","±10,283","6.7%","±0.1","86,215","±1,862","6.0%","±0.1","119,836","±4,159","6.3%","±0.2","802,672","±6,749","6.3%","±0.1","468,280","±5,229","6.9%","±0.1","224,891","±4,340","7.0%","±0.1","202,937","±5,596","6.9%","±0.2","288,944","±5,638","6.4%","±0.1","306,585","±7,464","6.6%","±0.2","77,584","±1,943","5.7%","±0.1","378,627","±4,919","6.1%","±0.1","476,148","±3,476","6.8%","±0.1","659,277","±5,698","6.6%","±0.1","353,592","±4,279","6.2%","±0.1","199,269","±6,442","6.8%","±0.2","388,885","±6,006","6.3%","±0.1","74,958","±2,490","6.8%","±0.2","133,478","±2,608","6.8%","±0.1","185,379","±2,355","5.9%","±0.1","86,456","±2,699","6.2%","±0.2","552,158","±4,389","6.0%","±0.1","131,911","±4,750","6.2%","±0.2","1,240,087","±5,782","6.3%","±0.1","705,531","±8,808","6.7%","±0.1","60,923","±2,685","7.9%","±0.3","747,533","±5,778","6.3%","±0.1","278,178","±4,094","7.0%","±0.1","254,516","±4,060","6.0%","±0.1","784,817","±5,120","6.1%","±0.1","77,146","±2,152","7.0%","±0.2","326,481","±6,421","6.3%","±0.1","58,324","±2,404","6.5%","±0.3","443,384","±6,769","6.4%","±0.1","2,012,920","±13,696","6.8%","±0.1","280,300","±4,485","8.4%","±0.1","45,761","±2,081","7.1%","±0.3","574,546","±8,762","6.6%","±0.1","481,655","±5,364","6.2%","±0.1","112,530","±3,667","6.3%","±0.2","387,572","±3,499","6.6%","±0.1","35,717","±2,479","6.2%","±0.4","225,881","±5,361","6.9%","±0.2"
