"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"DP05_0001E","Estimate!!SEX AND AGE!!Total population"
"DP05_0001M","Margin of Error!!SEX AND AGE!!Total population"
"DP05_0001MA","Annotation of Margin of Error!!SEX AND AGE!!Total population"
"DP05_0001EA","Annotation of Estimate!!SEX AND AGE!!Total population"
"DP05_0002E","Estimate!!SEX AND AGE!!Total population!!Male"
"DP05_0002M","Margin of Error!!SEX AND AGE!!Total population!!Male"
"DP05_0002MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!Male"
"DP05_0002EA","Annotation of Estimate!!SEX AND AGE!!Total population!!Male"
"DP05_0003E","Estimate!!SEX AND AGE!!Total population!!Female"
"DP05_0003EA","Annotation of Estimate!!SEX AND AGE!!Total population!!Female"
"DP05_0003M","Margin of Error!!SEX AND AGE!!Total population!!Female"
"DP05_0003MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!Female"
"DP05_0004E","Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females)"
"DP05_0004M","Margin of Error!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females)"
"DP05_0004MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females)"
"DP05_0004EA","Annotation of Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females)"
"DP05_0005E","Estimate!!SEX AND AGE!!Total population!!Under 5 years"
"DP05_0005EA","Annotation of Estimate!!SEX AND AGE!!Total population!!Under 5 years"
"DP05_0005M","Margin of Error!!SEX AND AGE!!Total population!!Under 5 years"
"DP05_0005MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!Under 5 years"
"DP05_0006E","Estimate!!SEX AND AGE!!Total population!!5 to 9 years"
"DP05_0006M","Margin of Error!!SEX AND AGE!!Total population!!5 to 9 years"
"DP05_0006MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!5 to 9 years"
"DP05_0006EA","Annotation of Estimate!!SEX AND AGE!!Total population!!5 to 9 years"
"DP05_0007E","Estimate!!SEX AND AGE!!Total population!!10 to 14 years"
"DP05_0007M","Margin of Error!!SEX AND AGE!!Total population!!10 to 14 years"
"DP05_0007MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!10 to 14 years"
"DP05_0007EA","Annotation of Estimate!!SEX AND AGE!!Total population!!10 to 14 years"
"DP05_0008E","Estimate!!SEX AND AGE!!Total population!!15 to 19 years"
"DP05_0008EA","Annotation of Estimate!!SEX AND AGE!!Total population!!15 to 19 years"
"DP05_0008M","Margin of Error!!SEX AND AGE!!Total population!!15 to 19 years"
"DP05_0008MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!15 to 19 years"
"DP05_0009E","Estimate!!SEX AND AGE!!Total population!!20 to 24 years"
"DP05_0009EA","Annotation of Estimate!!SEX AND AGE!!Total population!!20 to 24 years"
"DP05_0009M","Margin of Error!!SEX AND AGE!!Total population!!20 to 24 years"
"DP05_0009MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!20 to 24 years"
"DP05_0010E","Estimate!!SEX AND AGE!!Total population!!25 to 34 years"
"DP05_0010EA","Annotation of Estimate!!SEX AND AGE!!Total population!!25 to 34 years"
"DP05_0010M","Margin of Error!!SEX AND AGE!!Total population!!25 to 34 years"
"DP05_0010MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!25 to 34 years"
"DP05_0011E","Estimate!!SEX AND AGE!!Total population!!35 to 44 years"
"DP05_0011M","Margin of Error!!SEX AND AGE!!Total population!!35 to 44 years"
"DP05_0011MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!35 to 44 years"
"DP05_0011EA","Annotation of Estimate!!SEX AND AGE!!Total population!!35 to 44 years"
"DP05_0012E","Estimate!!SEX AND AGE!!Total population!!45 to 54 years"
"DP05_0012M","Margin of Error!!SEX AND AGE!!Total population!!45 to 54 years"
"DP05_0012MA","Annotation of Margin of Error!!SEX AND AGE!!Total population!!45 to 54 years"
"DP05_0012EA","Annotation of Estimate!!SEX AND AGE!!Total population!!45 to 54 years"
"DP05_0013E","Estimate!!SEX AND AGE!!Total population!!55 to 59 years"
"DP05_0013EA","Annotation of Estimate!!SEX AND AGE!!Total population!!55 to 59 years"
