OBJECTID,RouteIdentifier,BeginAccumulatedRouteMile,EndAccumulatedRouteMile,DividedIndicator,SnapshotDate,BeginStateRouteMilepost,BeginAheadBackIndicator,EndStateRouteMilepost,EndAheadBackIndicator,LRSDate,SHAPESTLength
1,005R514217i,0,0.660000026226044,N,2022/02/05 00:00:00+00,0,A,0.660000026226044,A,2021/12/31 00:00:00+00,3502.18336715021
2,005R512084i,0,0.25,N,2022/02/05 00:00:00+00,0,A,0.25,A,2021/12/31 00:00:00+00,1343.93630264505
3,005R510846i,0,0.340000003576279,N,2022/02/05 00:00:00+00,0,A,0.340000003576279,A,2021/12/31 00:00:00+00,1861.0467518954
4,005R509535i,0,0.400000005960464,N,2022/02/05 00:00:00+00,0,A,0.400000005960464,A,2021/12/31 00:00:00+00,2128.60957574358
5,005R500252i,0,0.300000011920929,N,2022/02/05 00:00:00+00,0,A,0.300000011920929,A,2021/12/31 00:00:00+00,1743.58910823937
6,005R303748i,0,0.209999993443489,N,2022/02/05 00:00:00+00,0,A,0.209999993443489,A,2021/12/31 00:00:00+00,1086.6574469522
7,005R219438i,0,0.340000003576279,N,2022/02/05 00:00:00+00,0,A,0.340000003576279,A,2021/12/31 00:00:00+00,1892.3498954416
8,005R217004i,0,0.170000001788139,N,2022/02/05 00:00:00+00,0,A,0.170000001788139,A,2021/12/31 00:00:00+00,1123.67999391385
9,005R216336i,0,0.349999994039536,N,2022/02/05 00:00:00+00,0,A,0.349999994039536,A,2021/12/31 00:00:00+00,1835.10817654975
10,005R215513i,0,0.540000021457672,N,2022/02/05 00:00:00+00,0,A,0.540000021457672,A,2021/12/31 00:00:00+00,3045.63145636138
11,005R215272i,0,0.239999994635582,N,2022/02/05 00:00:00+00,0,A,0.239999994635582,A,2021/12/31 00:00:00+00,1345.50420327094
12,005R213418i,0,0.490000009536743,N,2022/02/05 00:00:00+00,0,A,0.490000009536743,A,2021/12/31 00:00:00+00,2644.22645179256
13,005R210623i,0,0.5,N,2022/02/05 00:00:00+00,0,A,0.5,A,2021/12/31 00:00:00+00,2682.6943393408
14,005R203748i,0,0.479999989271164,N,2022/02/05 00:00:00+00,0,A,0.479999989271164,A,2021/12/31 00:00:00+00,2501.2206107334
15,005R127055i,0,0.280000001192093,N,2022/02/05 00:00:00+00,0,A,0.280000001192093,A,2021/12/31 00:00:00+00,1483.92142819112
16,005R126632i,0,0.319999992847443,N,2022/02/05 00:00:00+00,0,A,0.319999992847443,A,2021/12/31 00:00:00+00,1616.72646091269
17,005R126047i,0,0.270000010728836,N,2022/02/05 00:00:00+00,0,A,0.270000010728836,A,2021/12/31 00:00:00+00,1591.68437916147
18,005R125802i,0,0.379999995231628,N,2022/02/05 00:00:00+00,0,A,0.379999995231628,A,2021/12/31 00:00:00+00,1970.66640342087
19,005R125713i,0,0.200000002980232,N,2022/02/05 00:00:00+00,0,A,0.200000002980232,A,2021/12/31 00:00:00+00,1001.09748191711
20,005R125382i,0,0.150000005960464,N,2022/02/05 00:00:00+00,0,A,0.150000005960464,A,2021/12/31 00:00:00+00,803.519184936319
21,005R125098i,0,0.209999993443489,N,2022/02/05 00:00:00+00,0,A,0.209999993443489,A,2021/12/31 00:00:00+00,1133.38172836881
22,005R124622i,0,0.209999993443489,N,2022/02/05 00:00:00+00,0,A,0.209999993443489,A,2021/12/31 00:00:00+00,1133.57088252517
23,005R124119i,0,0.219999998807907,N,2022/02/05 00:00:00+00,0,A,0.219999998807907,A,2021/12/31 00:00:00+00,1188.83444335802
