"GEO_ID","NAME","B08131_001E","B08131_001EA","B08131_001M","B08131_001MA","B08131_002E","B08131_002EA","B08131_002M","B08131_002MA","B08131_003E","B08131_003EA","B08131_003M","B08131_003MA","B08131_004E","B08131_004M","B08131_004MA","B08131_004EA","B08131_005E","B08131_005M","B08131_005MA","B08131_005EA",
"Geography","Geographic Area Name","Estimate!!Aggregate travel time to work (in minutes):","Annotation of Estimate!!Aggregate travel time to work (in minutes):","Margin of Error!!Aggregate travel time to work (in minutes):","Annotation of Margin of Error!!Aggregate travel time to work (in minutes):","Estimate!!Aggregate travel time to work (in minutes):!!Worked in State of residence:","Annotation of Estimate!!Aggregate travel time to work (in minutes):!!Worked in State of residence:","Margin of Error!!Aggregate travel time to work (in minutes):!!Worked in State of residence:","Annotation of Margin of Error!!Aggregate travel time to work (in minutes):!!Worked in State of residence:","Estimate!!Aggregate travel time to work (in minutes):!!Worked in State of residence:!!Worked in county of residence","Annotation of Estimate!!Aggregate travel time to work (in minutes):!!Worked in State of residence:!!Worked in county of residence","Margin of Error!!Aggregate travel time to work (in minutes):!!Worked in State of residence:!!Worked in county of residence","Annotation of Margin of Error!!Aggregate travel time to work (in minutes):!!Worked in State of residence:!!Worked in county of residence","Estimate!!Aggregate travel time to work (in minutes):!!Worked in State of residence:!!Worked outside county of residence","Margin of Error!!Aggregate travel time to work (in minutes):!!Worked in State of residence:!!Worked outside county of residence","Annotation of Margin of Error!!Aggregate travel time to work (in minutes):!!Worked in State of residence:!!Worked outside county of residence","Annotation of Estimate!!Aggregate travel time to work (in minutes):!!Worked in State of residence:!!Worked outside county of residence","Estimate!!Aggregate travel time to work (in minutes):!!Worked outside State of residence","Margin of Error!!Aggregate travel time to work (in minutes):!!Worked outside State of residence","Annotation of Margin of Error!!Aggregate travel time to work (in minutes):!!Worked outside State of residence","Annotation of Estimate!!Aggregate travel time to work (in minutes):!!Worked outside State of residence",
"0400000US01","Alabama","49546300","null","650241","null","46122165","null","604422","null","28421365","null","526652","null","17700800","438882","null","null","3424135","365414","null","null",
"0400000US02","Alaska","6101145","null","234383","null","6073290","null","233105","null","4870140","null","209584","null","1203150","146598","null","null","27855","18486","null","null",
"0400000US04","Arizona","64431890","null","752153","null","62856155","null","734677","null","57003910","null","703349","null","5852245","427966","null","null","1575730","202507","null","null",
"0400000US05","Arkansas","26264915","null","507432","null","24668950","null","439429","null","14967450","null","344959","null","9701500","344143","null","null","1595965","185130","null","null",
"0400000US06","California","385992605","null","2410052","null","383724335","null","2366239","null","279268370","null","1881881","null","104455965","1578840","null","null","2268270","266242","null","null",
"0400000US08","Colorado","56953655","null","643480","null","55717580","null","654869","null","30026770","null","601786","null","25690810","541498","null","null","1236075","237587","null","null",
"0400000US09","Connecticut","36647590","null","596255","null","31312000","null","532496","null","21480570","null","470178","null","9831430","412933","null","null","5335595","394657","null","null",
"0400000US10","Delaware","9435015","null","367650","null","7339310","null","278436","null","6322480","null","255146","null","1016830","139171","null","null","2095705","195797","null","null",
"0400000US11","District of Columbia","5171695","null","240057","null","3413030","null","209974","null","3413030","null","209974","null","-","**","**","-","1758665","186142","null","null",
"0400000US12","Florida","222900220","null","1911573","null","218908580","null","1853592","null","157013945","null","1613847","null","61894635","1262529","null","null","3991640","345589","null","null",
"0400000US13","Georgia","110381555","null","1314984","null","106184300","null","1306870","null","47097535","null","922384","null","59086770","983789","null","null","4197255","291747","null","null",
"0400000US15","Hawaii","15115215","null","425185","null","15028220","null","431007","null","14937545","null","427126","null","90675","38514","null","null","86995","37238","null","null",
"0400000US16","Idaho","16681655","null","475048","null","14984745","null","415252","null","10309520","null","381496","null","4675225","269657","null","null","1696910","231121","null","null",
"0400000US17","Illinois","129257270","null","1045601","null","122821035","null","1031401","null","80721320","null","789596","null","42099710","835474","null","null","6436235","338115","null","null",
"0400000US18","Indiana","67055300","null","697528","null","60614935","null","663304","null","33064605","null","506037","null","27550330","521886","null","null","6440365","316321","null","null",
"0400000US19","Iowa","27121635","null","444667","null","25068960","null","431888","null","15404320","null","300245","null","9664640","355281","null","null","2052675","168175","null","null",
"0400000US20","Kansas","24129350","null","451705","null","21534440","null","464883","null","14321285","null","343611","null","7213155","298592","null","null","2594910","172436","null","null",
"0400000US21","Kentucky","40956970","null","642805","null","36473445","null","582952","null","20101400","null","390233","null","16372045","472092","null","null","4483525","328179","null","null",
"0400000US22","Louisiana","45267840","null","1048957","null","43264865","null","987735","null","23868840","null","587113","null","19396025","738150","null","null","2002975","313423","null","null",
"0400000US23","Maine","13167475","null","432437","null","12349555","null","376017","null","7984495","null","257283","null","4365060","282316","null","null","817925","128898","null","null",
"0400000US24","Maryland","67981575","null","930492","null","53372855","null","819591","null","28343530","null","618075","null","25029325","625742","null","null","14608715","490155","null","null",
"0400000US25","Massachusetts","73941425","null","862637","null","70247360","null","832527","null","40242315","null","707493","null","30005045","615697","null","null","3694070","256649","null","null",
"0400000US26","Michigan","89994475","null","845693","null","87251915","null","843391","null","49476870","null","590753","null","37775050","576460","null","null","2742560","193164","null","null",
"0400000US27","Minnesota","51030550","null","603248","null","48906250","null","570182","null","24291875","null","372216","null","24614375","480411","null","null","2124305","157843","null","null",
"0400000US28","Mississippi","28668950","null","607535","null","24120060","null","484439","null","12713440","null","385468","null","11406620","414043","null","null","4548895","422573","null","null",
"0400000US29","Missouri","57347720","null","822331","null","52100470","null","694134","null","27829665","null","520108","null","24270805","474546","null","null","5247250","354523","null","null",
"0400000US30","Montana","8600045","null","317911","null","8349010","null","320107","null","6872900","null","238680","null","1476115","166626","null","null","251035","73357","null","null",
"0400000US31","Nebraska","16969105","null","293058","null","16145985","null","275673","null","10761660","null","201596","null","5384325","207351","null","null","823120","94681","null","null",
"0400000US32","Nevada","30052500","null","486887","null","29019575","null","466210","null","26686345","null","397811","null","2333230","263400","null","null","1032925","197577","null","null",
"0400000US33","New Hampshire","15185865","null","359256","null","11387470","null","330765","null","7205995","null","268799","null","4181475","254767","null","null","3798395","227546","null","null",
"0400000US34","New Jersey","98380035","null","1050130","null","76998850","null","931704","null","38155035","null","642518","null","38843820","759339","null","null","21381180","713873","null","null",
"0400000US35","New Mexico","17259760","null","515260","null","16099735","null","497181","null","12130505","null","420728","null","3969230","304669","null","null","1160025","213717","null","null",
"0400000US36","New York","227623710","null","1763382","null","220764365","null","1731260","null","115475640","null","1334473","null","105288725","1471091","null","null","6859345","454934","null","null",
"0400000US37","North Carolina","97370035","null","1128261","null","92646580","null","1074504","null","52952620","null","751268","null","39693955","968980","null","null","4723455","403667","null","null",
"0400000US38","North Dakota","6335155","null","277489","null","5902630","null","253017","null","4548595","null","214019","null","1354035","140306","null","null","432525","110987","null","null",
"0400000US39","Ohio","107876745","null","973822","null","103092530","null","995758","null","58460975","null","734249","null","44631555","802157","null","null","4784220","297093","null","null",
"0400000US40","Oklahoma","34943650","null","521784","null","33040130","null","536554","null","20332910","null","395750","null","12707220","376559","null","null","1903520","163734","null","null",
"0400000US41","Oregon","34485405","null","552684","null","33115020","null","581761","null","21891030","null","388117","null","11223990","458433","null","null","1370385","194717","null","null",
"0400000US42","Pennsylvania","126990175","null","1159131","null","115190530","null","1027593","null","72332245","null","937726","null","42858280","777231","null","null","11799645","559925","null","null",
"0400000US44","Rhode Island","10894535","null","337603","null","8112090","null","295071","null","5236805","null","230017","null","2875285","212519","null","null","2782445","219155","null","null",
"0400000US45","South Carolina","52417255","null","843148","null","48222750","null","812016","null","29704865","null","709243","null","18517885","536796","null","null","4194505","326504","null","null",
"0400000US46","South Dakota","6905460","null","192332","null","6525850","null","190943","null","4287470","null","144417","null","2238375","148422","null","null","379610","91750","null","null",
"0400000US47","Tennessee","69192325","null","898223","null","65537000","null","931104","null","37746925","null","617571","null","27790075","671371","null","null","3655325","297165","null","null",
"0400000US48","Texas","295281045","null","2182981","null","289842620","null","2130889","null","190723405","null","1674920","null","99119215","1630915","null","null","5438425","455470","null","null",
"0400000US49","Utah","27978435","null","470217","null","27341530","null","468430","null","19010600","null","410462","null","8330930","325055","null","null","636905","149917","null","null",
"0400000US50","Vermont","6072215","null","208165","null","5352300","null","191189","null","3515725","null","148798","null","1836575","156420","null","null","719915","91292","null","null",
