GEO_ID,NAME,B08131_001E,B08131_001EA,B08131_001M,B08131_001MA,B08131_002E,B08131_002EA,B08131_002M,B08131_002MA,B08131_003E,B08131_003EA,B08131_003M,B08131_003MA,B08131_004E,B08131_004M,B08131_004MA,B08131_004EA,B08131_005E,B08131_005M,B08131_005MA,B08131_005EA
0400000US53,Washington,72158295,null,828119,null,68684495,null,773838,null,49014320,null,733755,null,19670175,551157,null,null,3473805,304584,null,null
0500000US53005,"Benton County, Washington",1769610,null,139737,null,1657875,null,134995,null,1122795,null,84079,null,535080,87618,null,null,111735,58161,null,null
0500000US53007,"Chelan County, Washington",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0500000US53009,"Clallam County, Washington",504465,null,55084,null,493285,null,50816,null,429870,null,45698,null,63415,25770,null,null,11180,10638,null,null
0500000US53011,"Clark County, Washington",4424260,null,185463,null,2734075,null,171313,null,2356845,null,128921,null,377230,109776,null,null,1690185,137602,null,null
0500000US53015,"Cowlitz County, Washington",1100250,null,109064,null,842230,null,69524,null,577905,null,62789,null,264325,56408,null,null,258020,87578,null,null
0500000US53021,"Franklin County, Washington",917055,null,87131,null,880770,null,87746,null,374665,null,56260,null,506105,77434,null,null,36285,33032,null,null
0500000US53025,"Grant County, Washington",804665,null,94947,null,788020,null,94688,null,709135,null,83612,null,78885,47551,null,null,16645,21835,null,null
0500000US53027,"Grays Harbor County, Washington",521100,null,61572,null,520655,null,61544,null,385105,null,46674,null,135550,47831,null,null,445,607,null,null
0500000US53029,"Island County, Washington",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0500000US53033,"King County, Washington",19813590,null,465422,null,19525000,null,454262,null,17443530,null,448696,null,2081470,169994,null,null,288590,112029,null,null
0500000US53035,"Kitsap County, Washington",2789365,null,180820,null,2711945,null,170968,null,1903490,null,108247,null,808455,138944,null,null,77425,52285,null,null
0500000US53041,"Lewis County, Washington",888000,null,99120,null,852925,null,96096,null,383190,null,54183,null,469730,91428,null,null,35080,29593,null,null
0500000US53045,"Mason County, Washington",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
0500000US53053,"Pierce County, Washington",11673670,null,362528,null,11549995,null,354248,null,6381380,null,270019,null,5168615,336868,null,null,123675,74030,null,null
0500000US53057,"Skagit County, Washington",1221605,null,100776,null,1207045,null,99682,null,634790,null,70690,null,572255,88375,null,null,14560,9698,null,null
0500000US53061,"Snohomish County, Washington",8871235,null,302056,null,8804875,null,296706,null,4652680,null,211843,null,4152195,307372,null,null,66360,46881,null,null
0500000US53063,"Spokane County, Washington",4576080,null,200559,null,4268510,null,175600,null,4063355,null,179984,null,205155,70092,null,null,307570,95093,null,null
0500000US53067,"Thurston County, Washington",2753410,null,155162,null,2738315,null,154164,null,1319530,null,129961,null,1418785,151524,null,null,15090,11772,null,null
0500000US53073,"Whatcom County, Washington",1946575,null,151588,null,1915245,null,150791,null,1578470,null,133464,null,336775,80775,null,null,31330,17968,null,null
0500000US53077,"Yakima County, Washington",1973205,null,150799,null,1946070,null,150900,null,1714360,null,127993,null,231710,81490,null,null,27135,32916,null,null
1600000US5303180,"Auburn city, Washington",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null
