GEO_ID,NAME,P1_001N
0500000US53001,"Adams County, Washington",20613
0500000US53003,"Asotin County, Washington",22285
0500000US53005,"Benton County, Washington",206873
0500000US53007,"Chelan County, Washington",79074
0500000US53009,"Clallam County, Washington",77155
0500000US53011,"Clark County, Washington",503311
0500000US53013,"Columbia County, Washington",3952
0500000US53015,"Cowlitz County, Washington",110730
0500000US53017,"Douglas County, Washington",42938
0500000US53019,"Ferry County, Washington",7178
0500000US53021,"Franklin County, Washington",96749
0500000US53023,"Garfield County, Washington",2286
0500000US53025,"Grant County, Washington",99123
0500000US53027,"Grays Harbor County, Washington",75636
0500000US53029,"Island County, Washington",86857
0500000US53031,"Jefferson County, Washington",32977
0500000US53033,"King County, Washington",2269675
0500000US53035,"Kitsap County, Washington",275611
0500000US53037,"Kittitas County, Washington",44337
0500000US53039,"Klickitat County, Washington",22735
0500000US53041,"Lewis County, Washington",82149
0500000US53043,"Lincoln County, Washington",10876
0500000US53045,"Mason County, Washington",65726
0500000US53047,"Okanogan County, Washington",42104
0500000US53049,"Pacific County, Washington",23365
0500000US53051,"Pend Oreille County, Washington",13401
0500000US53053,"Pierce County, Washington",921130
0500000US53055,"San Juan County, Washington",17788
0500000US53057,"Skagit County, Washington",129523
0500000US53059,"Skamania County, Washington",12036
0500000US53061,"Snohomish County, Washington",827957
0500000US53063,"Spokane County, Washington",539339
0500000US53065,"Stevens County, Washington",46445
0500000US53067,"Thurston County, Washington",294793
0500000US53069,"Wahkiakum County, Washington",4422
0500000US53071,"Walla Walla County, Washington",62584
0500000US53073,"Whatcom County, Washington",226847
0500000US53075,"Whitman County, Washington",47973
0500000US53077,"Yakima County, Washington",256728
0400000US53,Washington,7705281
