State,County,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days PM2.5,Days PM10
Alabama,Baldwin,2022,19,19,0,0,0,0,0,48,45,24,0,0,0,19,0
Alabama,Clay,2022,19,16,3,0,0,0,0,62,52,22,0,0,0,19,0
Alabama,DeKalb,2022,59,55,4,0,0,0,0,71,47,34,0,0,51,8,0
Alabama,Etowah,2022,56,48,8,0,0,0,0,73,55,32,0,0,0,56,0
Alabama,Mobile,2022,58,50,8,0,0,0,0,70,53,30,0,0,0,58,0
Alabama,Montgomery,2022,59,48,11,0,0,0,0,95,58,33,0,0,0,59,0
Alabama,Morgan,2022,59,50,9,0,0,0,0,74,54,35,0,0,0,59,0
Alabama,Russell,2022,57,43,14,0,0,0,0,91,64,42,0,0,0,57,0
Alabama,Sumter,2022,58,57,1,0,0,0,0,51,38,20,0,0,0,58,0
Alabama,Tuscaloosa,2022,17,14,3,0,0,0,0,62,55,25,0,0,0,17,0
Alaska,Denali ,2022,90,90,0,0,0,0,0,45,44,39,0,0,90,0,0
Arizona,Apache,2022,90,90,0,0,0,0,0,26,16,10,0,0,0,2,88
Arizona,Cochise,2022,90,81,9,0,0,0,0,88,54,44,0,0,84,0,6
Arizona,Coconino,2022,90,88,2,0,0,0,0,54,48,44,0,0,90,0,0
Arizona,Gila,2022,90,82,5,2,1,0,0,177,50,42,0,0,83,0,7
Arizona,La Paz,2022,90,84,6,0,0,0,0,68,47,42,0,0,83,2,5
Arizona,Maricopa,2022,120,71,19,20,10,0,0,187,150,48,0,8,77,4,31
Arizona,Mohave,2022,90,83,7,0,0,0,0,64,39,12,0,0,0,0,90
Arizona,Navajo,2022,90,90,0,0,0,0,0,50,45,41,0,0,90,0,0
Arizona,Pima,2022,90,78,10,2,0,0,0,122,53,34,0,0,0,0,90
Arizona,Pinal,2022,90,74,16,0,0,0,0,74,58,44,0,0,90,0,0
Arizona,Santa Cruz,2022,90,52,38,0,0,0,0,93,75,47,0,0,0,73,17
Arizona,Yavapai,2022,90,90,0,0,0,0,0,47,43,39,0,0,90,0,0
Arizona,Yuma,2022,90,59,28,3,0,0,0,129,60,42,0,0,44,14,32
Arkansas,Clark,2022,57,56,1,0,0,0,0,51,42,33,0,0,57,0,0
Arkansas,Crittenden,2022,89,86,3,0,0,0,0,90,44,33,0,0,89,0,0
Arkansas,Newton,2022,89,83,5,1,0,0,0,105,47,38,0,0,89,0,0
Arkansas,Polk,2022,90,84,4,2,0,0,0,105,48,40,0,0,90,0,0
Arkansas,Pulaski,2022,91,79,11,1,0,0,0,115,55,38,1,0,62,28,0
Arkansas,Washington,2022,90,83,6,1,0,0,0,108,48,38,0,0,90,0,0
California,Alameda,2022,91,56,35,0,0,0,0,85,65,44,1,2,33,55,0
California,Amador,2022,31,31,0,0,0,0,0,31,29,23,0,0,31,0,0
California,Butte,2022,37,19,18,0,0,0,0,78,71,43,1,0,8,28,0
