Application: Application Number,Total Amount,Application Received Date,Vehicle Category,Vehicle Model,Vehicle Year,Date of Purchase,Purchase or Lease?,Applicant: Postal Code,Applicant: County
M-000011,"$2,500",6/19/2014,BEV,Nissan LEAF SV,2013,6/18/2014,Leased,01581,Worcester
M-000013,"$1,500",6/20/2014,PHEV,Ford Fusion Energi,2014,6/19/2014,Leased,01826,Middlesex
M-000014,"$2,500",6/20/2014,PHEV+,Chevrolet Volt,2014,6/20/2014,Leased,01915,Essex
M-000015,"$1,500",6/20/2014,PHEV,Ford C-MAX Energi,2014,6/18/2014,Purchased,01985,Essex
M-000016,"$2,500",6/21/2014,BEV,Nissan LEAF S,2013,6/21/2014,Purchased,01757,Worcester
M-000017,"$2,500",6/23/2014,BEV,Nissan LEAF SV,2013,6/23/2014,Leased,01373,Franklin
M-000079,"$2,500",6/23/2014,BEV,Smart Electric Fortwo Coupe,2015,6/23/2014,Purchased,01902,Essex
M-000080,"$2,500",6/24/2014,PHEV+,Chevrolet Volt,2014,6/19/2014,Purchased,01864,Middlesex
M-000081,"$2,500",6/24/2014,BEV,Smart Electric Fortwo Coupe,2014,6/24/2014,Leased,01450,Middlesex
M-000082,"$2,500",6/24/2014,BEV,Smart Electric Fortwo Cabriolet,2014,6/23/2014,Leased,02215,Suffolk
M-000083,"$1,500",6/24/2014,PHEV,Ford Fusion Energi,2014,6/20/2014,Purchased,01570,Worcester
M-000084,"$2,500",6/24/2014,BEV,BMW i3 REx,2014,6/24/2014,Purchased,01915,Essex
M-000085,"$2,500",6/24/2014,BEV,Tesla Model S - 85 kWh,2014,6/23/2014,Purchased,02038,Norfolk
M-000086,"$2,500",6/24/2014,BEV,Nissan LEAF S,2014,6/24/2014,Leased,01845,Essex
M-000087,"$2,500",6/25/2014,BEV,Tesla Model S - 85 kWh,2014,6/25/2014,Purchased,02066,Plymouth
M-000088,"$1,500",6/25/2014,PHEV,Ford C-MAX Energi,2014,6/25/2014,Purchased,01062,Hampshire
M-000089,"$2,500",6/25/2014,BEV,Nissan LEAF SL,2013,6/21/2014,Purchased,01851,Middlesex
M-000090,"$2,500",6/25/2014,BEV,Smart Electric Fortwo Coupe,2014,6/25/2014,Leased,01720,Middlesex
M-000091,"$2,500",6/25/2014,BEV,Smart Electric Fortwo Coupe,2014,6/23/2014,Leased,01821,Middlesex
M-000092,"$1,500",6/26/2014,PHEV,Ford Fusion Energi,2014,6/25/2014,Purchased,01569,Worcester
M-000093,"$2,500",6/26/2014,BEV,Smart Electric Fortwo Coupe,2014,6/26/2014,Purchased,02467,Norfolk
M-000095,"$2,500",6/26/2014,BEV,Smart Electric Fortwo Cabriolet,2014,6/22/2014,Leased,01534,Worcester
M-000096,"$2,500",6/26/2014,BEV,Nissan LEAF S,2014,6/26/2014,Purchased,01720,Middlesex
M-000097,"$2,500",6/26/2014,BEV,Smart Electric Fortwo Coupe,2014,6/20/2014,Leased,02535,Dukes
M-000098,"$2,500",6/26/2014,BEV,Nissan LEAF SV,2013,6/26/2014,Leased,01033,Hampshire
M-000099,"$2,500",6/27/2014,BEV,Nissan LEAF SL,2013,6/26/2014,Leased,01062,Hampshire
M-000100,"$2,500",6/28/2014,PHEV+,Chevrolet Volt,2014,6/23/2014,Leased,01721,Middlesex
M-000101,"$2,500",6/28/2014,PHEV+,Chevrolet Volt,2014,6/28/2014,Leased,02467,Norfolk
M-000102,"$2,500",6/28/2014,BEV,Ford Focus Electric,2014,6/28/2014,Purchased,02056,Norfolk
M-000103,"$2,500",6/29/2014,BEV,Nissan LEAF SL,2014,6/26/2014,Leased,01545,Worcester
M-000104,"$2,500",6/29/2014,BEV,Honda Fit EV,2014,6/28/2014,Leased,01030,Hampden
M-000105,"$2,500",6/30/2014,PHEV+,Chevrolet Volt,2014,6/21/2014,Leased,01226,Berkshire
M-000106,"$2,500",6/30/2014,BEV,Nissan LEAF SV,2014,6/21/2014,Purchased,02130,Suffolk
M-000107,"$2,500",6/30/2014,BEV,BMW i3 REx,2014,6/28/2014,Purchased,02067,Norfolk
M-000108,"$2,500",6/30/2014,BEV,Tesla Model S - 60 kWh,2014,6/27/2014,Purchased,01742,Middlesex
M-000109,"$2,500",6/30/2014,PHEV+,Chevrolet Volt,2013,6/30/2014,Purchased,01440,Worcester
M-000110,"$2,500",6/30/2014,PHEV+,Chevrolet Volt,2014,6/29/2014,Purchased,02717,Bristol
M-000111,"$2,500",6/30/2014,BEV,Nissan LEAF SV,2014,6/30/2014,Purchased,02537,Barnstable
M-000113,"$2,500",7/1/2014,BEV,Tesla Model S - 85 kWh,2014,6/26/2014,Purchased,01876,Middlesex
M-000114,"$1,500",7/1/2014,PHEV,Ford Fusion Energi,2014,6/19/2014,Purchased,01460,Middlesex
M-000116,"$2,500",7/2/2014,PHEV+,Chevrolet Volt,2014,6/30/2014,Purchased,01545,Worcester
M-000117,"$2,500",7/2/2014,BEV,BMW i3 REx,2014,6/25/2014,Purchased,01460,Middlesex
M-000178,"$2,500",7/2/2014,BEV,Tesla Model S - 60 kWh,2014,7/1/2014,Purchased,01503,Worcester
M-000179,"$2,500",7/2/2014,PHEV+,Chevrolet Volt,2014,6/30/2014,Purchased,01938,Essex
M-000180,"$2,500",7/2/2014,PHEV+,Chevrolet Volt,2014,6/22/2014,Purchased,01748,Middlesex
M-000181,"$2,500",7/3/2014,PHEV+,Chevrolet Volt,2014,6/27/2014,Purchased,01201,Berkshire
M-000182,"$2,500",7/3/2014,PHEV+,Chevrolet Volt,2014,6/23/2014,Purchased,02760,Bristol
M-000184,"$2,500",7/3/2014,PHEV+,Chevrolet Volt,2014,6/25/2014,Purchased,02458,Middlesex
M-000185,"$1,500",7/3/2014,PHEV,Ford Fusion Energi,2014,6/30/2014,Purchased,02138,Middlesex
M-000186,"$2,500",7/4/2014,PHEV+,Chevrolet Volt,2014,6/30/2014,Leased,01983,Essex
M-000187,"$2,500",7/4/2014,BEV,Tesla Model S - 85 kWh,2014,6/28/2014,Purchased,02043,Plymouth
M-000188,"$2,500",7/4/2014,BEV,Nissan LEAF SV,2013,6/30/2014,Leased,02703,Bristol
M-000189,"$2,500",7/5/2014,BEV,Nissan LEAF SL,2013,6/30/2014,Leased,01880,Middlesex
M-000190,"$2,500",7/7/2014,BEV,BMW i3 REx,2014,7/7/2014,Purchased,02421,Middlesex
M-000192,"$2,500",7/7/2014,BEV,BMW i3,2014,7/7/2014,Purchased,01721,Middlesex
M-000193,"$2,500",7/8/2014,BEV,Smart Electric Fortwo Coupe,2014,6/26/2014,Leased,02130,Suffolk
M-000194,"$2,500",7/8/2014,BEV,Nissan LEAF SV,2014,6/28/2014,Leased,01106,Hampden
M-000195,"$2,500",7/8/2014,BEV,Nissan LEAF SL,2013,6/28/2014,Leased,01748,Middlesex
