,gas_key,gas_lat,gas_long,exit_name,exit_lat,exit_long,distance_to_nearest_exit,interstate
0,1755,47.4851317,-122.2702473,156,47.4861061,-122.2677827,0.1335,I5
1,926,47.4169994,-122.28806,151,47.4162706,-122.2896227,0.0888,I5
2,962,47.484727,-122.2709634,156,47.4861061,-122.2677827,0.1766,I5
3,1779,47.4824618,-122.2692206,156,47.4861061,-122.2677827,0.2609,I5
4,1284,47.4849093,-122.2715897,156,47.4861061,-122.2677827,0.1963,I5
5,1545,47.3146322,-122.3001905,143,47.3116111,-122.2986827,0.2206,I5
6,1715,47.4556678,-122.2608843,154 B,47.4564252,-122.2635066,0.1334,I5
7,1538,47.3580499,-122.2922278,147,47.3628358,-122.2955255,0.3653,I5
8,1893,47.3945341,-122.2953506,149 B,47.3919438,-122.2907036,0.2819,I5
9,1625,47.4640559,-122.2600927,154 A,47.4601841,-122.2630589,0.3016,I5
10,1544,47.434117,-122.2758589,152,47.4287125,-122.2747094,0.3777,I5
11,1262,47.5472492,-122.3213008,161,47.5516486,-122.3170888,0.3623,I5
12,1585,47.4875954,-122.2581292,156,47.4861061,-122.2677827,0.4628,I5
13,1885,47.4869938,-122.2582047,156,47.4861061,-122.2677827,0.4519,I5
14,1950,47.4085722,-122.2985216,149,47.4009545,-122.2924935,0.5977,I5
15,1676,47.3867988,-122.2968657,149 A,47.3859405,-122.289991,0.3274,I5
16,1800,47.4091422,-122.2986113,149,47.4009545,-122.2924935,0.6347,I5
17,1605,47.3862108,-122.2969083,149 A,47.3859405,-122.289991,0.3245,I5
18,1606,47.315447,-122.3046415,143,47.3116111,-122.2986827,0.3853,I5
19,1750,47.37374,-122.3006243,147,47.3628358,-122.2955255,0.7912,I5
20,2096,47.5624993,-122.3298991,162,47.5614353,-122.3220541,0.3735,I5
21,989,47.4224539,-122.2961361,151,47.4162706,-122.2896227,0.5252,I5
22,1534,47.4230176,-122.2958158,151,47.4162706,-122.2896227,0.5494,I5
23,1722,47.5061374,-122.2911136,158,47.510988,-122.2842042,0.4656,I5
24,1597,47.3436075,-122.3016381,147,47.3530329,-122.2958194,0.7067,I5
25,1714,47.4230125,-122.2969226,151,47.4162706,-122.2896227,0.5781,I5
26,1989,47.3682776,-122.3036004,147,47.3628358,-122.2955255,0.5337,I5
27,1049,47.3694472,-122.3038646,147,47.3628358,-122.2955255,0.6015,I5
28,1922,47.5465658,-122.3257922,161,47.5516486,-122.3170888,0.5373,I5
