,gas_key,gas_lat,gas_long,exit_name,exit_lat,exit_long,distance_to_nearest_exit,interstate
0,267,46.2517889,-119.4744757,96,46.2530063,-119.4677765,0.3313,I82
1,271,46.3463268,-120.1803222,58,46.3492096,-120.1829591,0.2358,I82
2,479,46.5682958,-120.473035,36,46.5684988,-120.4721887,0.0426,I82
3,475,46.2207843,-119.7881048,80,46.2215083,-119.7826461,0.266,I82
4,166,46.5810842,-120.4730299,34,46.5813427,-120.4718152,0.0605,I82
5,476,46.2208649,-119.7890029,80,46.2215083,-119.7826461,0.3075,I82
6,1377,46.4045562,-120.2766847,52,46.4023596,-120.2723381,0.257,I82
7,1081,46.6773392,-120.4793124,26,46.6810837,-120.4759788,0.3035,I82
8,135,46.3447959,-120.1798671,58,46.3492096,-120.1829591,0.3391,I82
9,259,46.3082341,-120.0206192,67,46.3062666,-120.0131528,0.3818,I82
10,2176,46.21972,-119.7900085,80,46.2215083,-119.7826461,0.3734,I82
11,222,46.2675057,-119.9217089,73,46.2705409,-119.9241593,0.2404,I82
12,91,46.3089198,-119.979314,69,46.3060765,-119.9861759,0.3823,I82
13,223,46.4060912,-120.2778035,52,46.4056644,-120.2842525,0.309,I82
14,162,46.2531615,-119.8803882,75,46.2532617,-119.8734535,0.3318,I82
15,109,46.3092033,-119.9780366,69,46.3056574,-119.9711732,0.4095,I82
16,182,46.3089845,-120.0206434,67,46.3062666,-120.0131528,0.4043,I82
17,725,46.4009056,-120.2586085,52,46.4023596,-120.2723381,0.6626,I82
18,478,46.4750243,-120.3966198,44,46.4742779,-120.4004188,0.1882,I82
19,477,46.3093528,-119.979087,69,46.3060765,-119.9861759,0.4075,I82
20,136,46.5627194,-120.4756524,36,46.5684988,-120.4721887,0.4324,I82
21,298,46.1965884,-119.2649331,109,46.1944369,-119.2690995,0.2489,I82
22,1330,46.5848814,-120.4772048,34,46.5896995,-120.4748024,0.3523,I82
23,2131,46.5570477,-120.4748165,36,46.5572589,-120.4702893,0.2158,I82
24,2092,46.5543158,-120.4756394,36,46.5572589,-120.4702893,0.3259,I82
25,769,46.6047503,-120.494242,33 B,46.6075314,-120.4880037,0.3534,I82
26,1834,46.2557496,-119.8934031,75,46.2587169,-119.8846885,0.4646,I82
27,274,46.2562217,-119.8977689,75,46.2587169,-119.8846885,0.649,I82
28,2178,46.2621415,-119.4879582,96,46.2520833,-119.4819453,0.7528,I82
29,741,46.2621349,-119.4877889,96,46.2520833,-119.4819453,0.7493,I82
30,653,46.2559138,-119.9016231,75,46.2587169,-119.8846885,0.8328,I82
31,263,46.257722,-119.9100801,73,46.2688004,-119.9148437,0.7994,I82
32,262,46.2575774,-119.9098226,73,46.2688004,-119.9148437,0.8126,I82
33,583,46.3159359,-119.9878642,69,46.3060765,-119.9861759,0.6867,I82
34,261,46.2110839,-119.7599022,82,46.2158647,-119.7456909,0.7563,I82
35,724,46.3162843,-120.008324,67,46.3062666,-120.0131528,0.7303,I82
36,767,46.3421691,-120.1949414,58,46.3492096,-120.1829591,0.7513,I82
37,649,46.2088912,-119.7720958,80,46.2215083,-119.7826461,1.0083,I82
38,276,46.6063442,-120.5076614,33 B,46.6075314,-120.4880037,0.9377,I82
39,2057,46.6557737,-120.5308952,29,46.6452867,-120.5079066,1.3106,I82
40,775,46.6095018,-120.5183147,31,46.6236592,-120.5013238,1.2691,I82
41,1838,46.5780511,-120.4914735,34,46.5813427,-120.4718152,0.962,I82
42,751,46.3256793,-119.9952295,69,46.3060765,-119.9861759,1.4232,I82
43,768,46.5773685,-120.492165,34,46.5813427,-120.4718152,1.0058,I82
44,777,46.6145917,-120.5302061,31,46.6295568,-120.5152038,1.2568,I82
45,190,46.327876,-119.999631,67,46.3062666,-120.0131528,1.6283,I82
46,776,46.6128033,-120.5308503,31,46.6295568,-120.5152038,1.3768,I82
47,98,46.6647385,-120.5213968,29,46.6452867,-120.5079066,1.4902,I82
48,766,46.3296096,-120.0125136,67,46.3062666,-120.0131528,1.6149,I82
49,710,46.3298725,-120.0185777,67,46.3062666,-120.0131528,1.6533,I82
50,1811,46.6034267,-120.5177794,33 B,46.6075314,-120.4880037,1.4432,I82
51,774,46.6087027,-120.5308568,31,46.6295568,-120.5152038,1.6229,I82
52,778,46.6128192,-120.537171,31,46.6295568,-120.5152038,1.5587,I82
53,2182,46.5991044,-120.5187734,33 B,46.6075314,-120.4880037,1.5742,I82
54,2181,46.5988786,-120.5187609,33 B,46.6075314,-120.4880037,1.5795,I82
55,1731,46.585478,-120.5090766,34,46.5896995,-120.4748024,1.6553,I82
56,300,46.1845414,-119.1777292,113,46.1647442,-119.2024323,1.8098,I82
57,407,46.6027173,-120.5313822,31,46.6295568,-120.5152038,2.0093,I82
58,890,46.6059934,-120.4475211,33,46.6010707,-120.4823456,1.6896,I82
59,542,46.1852619,-119.1775682,113,46.1647442,-119.2024323,1.8527,I82
60,295,46.2123364,-119.2259223,109,46.19042,-119.2601735,2.2332,I82
61,104,46.5709655,-120.5098608,36,46.5684988,-120.4721887,1.7995,I82
62,770,46.5854559,-120.5202561,33,46.6010707,-120.4823456,2.1009,I82
63,750,46.1997359,-119.180577,113,46.1647442,-119.2024323,2.637,I82
64,996,46.6204561,-120.5606313,30,46.6348173,-120.5228929,2.0495,I82
65,265,46.3751947,-120.3178209,52,46.4056644,-120.2842525,2.6471,I82
66,301,46.2127195,-119.2014733,109,46.19042,-119.2601735,3.2057,I82
67,457,46.227645,-119.2433327,5 B,46.2593572,-119.2539007,2.2511,I82
68,1966,46.3753459,-120.320488,52,46.4056644,-120.2842525,2.7179,I82
69,1817,46.3753833,-120.3214408,52,46.4056644,-120.2842525,2.745,I82
70,1980,46.3748322,-120.3205486,52,46.4056644,-120.2842525,2.7472,I82
71,2097,46.2255325,-119.2369641,5 B,46.2593572,-119.2539007,2.476,I82
72,2108,46.2542322,-119.3200536,3,46.2523647,-119.3104446,0.4774,I82
73,264,46.3748821,-120.3247196,52,46.4056644,-120.2842525,2.8742,I82
74,191,46.3751782,-120.3275735,50,46.4170264,-120.3206151,2.9136,I82
75,317,46.619412,-120.5628486,30,46.6348173,-120.5228929,2.1767,I82
76,14,46.2875509,-119.3490955,102,46.2530177,-119.3756282,2.7047,I82
77,584,46.2129284,-119.1932605,113,46.1647442,-119.2024323,3.3617,I82
78,1820,46.5851513,-120.5386069,33 B,46.6075314,-120.4880037,2.8603,I82
79,2077,46.2488221,-119.3031422,3,46.2523647,-119.3104446,0.4267,I82
80,310,46.1984175,-119.1627252,113,46.1647442,-119.2024323,3.0069,I82
81,2121,46.2299453,-119.2243257,5 B,46.2593572,-119.2539007,2.478,I82
82,260,46.9706968,-120.5381169,109,46.973395,-120.5396861,0.2008,I82
83,2124,46.257766,-119.307626,3 A,46.255067,-119.30296,0.291,I82
84,302,46.2968802,-119.3392798,3 A,46.255067,-119.30296,3.3735,I82
85,362,46.2034375,-119.1593127,113,46.1647442,-119.2024323,3.3805,I82
86,1552,46.9753686,-120.5412508,109,46.973395,-120.5396861,0.1552,I82
87,1807,46.2092801,-119.1619971,12 A,46.2494088,-119.1308239,3.1511,I82
88,228,46.9757506,-120.5416555,109,46.973395,-120.5396861,0.1876,I82
89,144,46.9765549,-120.5428921,109,46.973395,-120.5396861,0.2658,I82
90,771,46.5856516,-120.5587721,31,46.6295568,-120.5152038,3.6755,I82
91,296,46.9775239,-120.5426587,109,46.973395,-120.5396861,0.3182,I82
92,1741,46.9770666,-120.5432098,109,46.973395,-120.5396861,0.3036,I82
93,772,46.5922987,-120.5718514,31,46.6295568,-120.5152038,3.7265,I82
94,675,46.6395163,-120.5933733,30,46.6348173,-120.5228929,3.3631,I82
95,779,46.5998347,-120.5836388,30,46.6348173,-120.5228929,3.7663,I82
96,1155,46.9878358,-120.5498352,109,46.973395,-120.5396861,1.1078,I82
97,1729,46.9910354,-120.547926,109,46.973395,-120.5396861,1.2807,I82
98,83,47.0022182,-120.5332538,109,46.973395,-120.5396861,2.0167,I82
99,1164,46.9940909,-120.5517604,109,46.973395,-120.5396861,1.5408,I82
100,81,46.9993061,-120.5485852,106,47.002554,-120.5864223,1.799,I82
101,548,46.999436,-120.5492075,106,47.002554,-120.5864223,1.7687,I82
102,1933,46.9750835,-120.4139088,115,46.971396,-120.4195895,0.3701,I82
103,378,46.3001773,-119.2988028,4,46.2587878,-119.2845805,2.9426,I82
104,780,46.9759501,-120.4128974,115,46.9717185,-120.4073255,0.3935,I82
105,773,46.5927372,-120.5993325,30,46.6348173,-120.5228929,4.6544,I82
106,1493,47.0002625,-120.556951,106,47.002554,-120.5864223,1.3993,I82
107,1494,47.0003339,-120.5569118,106,47.002554,-120.5864223,1.4005,I82
108,465,46.2855057,-119.2786319,4,46.2590199,-119.278415,1.8321,I82
109,1728,46.2712641,-119.2210243,7,46.2727922,-119.2279364,0.347,I82
110,707,46.2114264,-119.9984855,73,46.2705409,-119.9241593,5.4188,I82
111,486,46.5934118,-120.6062016,30,46.6348173,-120.5228929,4.8858,I82
112,299,46.2901153,-119.2745795,4,46.2590199,-119.278415,2.1587,I82
113,79,46.2940791,-119.2793752,4,46.2590199,-119.278415,2.4255,I82
114,221,46.3007045,-119.2818444,4,46.2590199,-119.278415,2.888,I82
115,2006,46.2709008,-119.1845172,9,46.2676903,-119.1895053,0.3259,I82
116,1911,46.2710754,-119.1834786,9,46.2676903,-119.1895053,0.3713,I82
117,273,46.3115287,-119.2851282,4,46.2590199,-119.278415,3.6462,I82
118,2005,46.2418502,-119.1324997,12 A,46.2494088,-119.1308239,0.5289,I82
119,2093,46.5824392,-120.6166292,30,46.6348173,-120.5228929,5.7416,I82
120,2177,46.2774189,-119.1858951,9,46.2676903,-119.1895053,0.6947,I82
