,gas_key,gas_name,gas_lat,gas_long,attr_cnt_1mile,attr_cnt_5mile,attr_name,attr_lat,attr_long,distance_to_nearest_attr
0,0,24 Hour Express Fuel,48.3937602975452,-122.3298055,0,1,Skagit County Fairgrounds,48.4081452,-122.3401183,1.102
1,1,76,47.1917122975452,-120.916225,0,1,KBHR Set,47.2232412,-120.9932245,4.2247
2,2,76,47.2387038975452,-122.3575768,0,4,Wagon Trail,47.2754374,-122.3088968,3.4174
3,3,76,48.4352268975452,-122.2913239,0,1,Skagit County Fairgrounds,48.4081452,-122.3401183,2.92
4,4,76,47.8396080975452,-120.014523,0,0,,,,
5,5,76,47.1395415975452,-122.0973429,0,1,Caboose,47.1033388,-122.0453014,3.5029
6,6,76,47.2347702975452,-122.5046745,0,11,The Eagles Nest,47.2212237,-122.534157,1.6721
7,7,76,47.5442952975452,-122.0365967,0,1,Fantastic Erratic,47.5302635,-122.0803656,2.2627
8,8,76,47.6060395975452,-122.3241049,13,18,Sky View Observatory,47.6045393,-122.3308714,0.3322
9,9,76,47.6716835975452,-122.1148925,0,40,Microsoft Visitor Center,47.6426765,-122.1367218,2.2495
10,10,76,47.9224274975452,-122.2998584,0,0,,,,
11,11,76,48.2412269975452,-122.3739625,0,0,,,,
12,12,76,48.3405951975452,-122.3318182,0,1,Skagit County Fairgrounds,48.4081452,-122.3401183,4.688
13,13,76,48.3408742975452,-122.3410856,0,1,Skagit County Fairgrounds,48.4081452,-122.3401183,4.6534
14,14,76,46.2875508975452,-119.3490955,0,0,,,,
15,15,76,47.0829085975452,-119.8600033,0,0,,,,
16,16,76,46.7012351975452,-122.957653,0,0,,,,
17,17,76,47.2130806975452,-123.0998193,0,0,,,,
18,18,76,48.9203725975452,-122.3223483,0,0,,,,
19,19,76,48.7567705975452,-122.4602115,0,1,Mindport Exhibits,48.7508811,-122.4806741,1.0182
20,20,76,48.7732270975452,-122.4570005,0,1,Mindport Exhibits,48.7508811,-122.4806741,1.8853
21,21,76,48.7173990975452,-122.502472,0,1,Mindport Exhibits,48.7508811,-122.4806741,2.5204
22,22,76,48.7646144975452,-122.4858024,1,1,Mindport Exhibits,48.7508811,-122.4806741,0.9783
23,23,76,47.6251788975452,-122.3203029,1,19,Mystery Coke Machine,47.6200011,-122.3199008,0.3586
24,24,76,47.3155676975452,-122.2142107,0,2,Kent Event Center,47.3696931,-122.2039437,3.7747
25,25,76,47.2938204975452,-122.2286604,0,2,Wagon Trail,47.2754374,-122.3088968,3.9738
26,26,76,48.0029776975452,-122.1077834,2,2,Abby Lola Bertain Memorial Wishing Well,48.0089435,-122.1157481,0.5533
