,gas_key,gas_lat,gas_long,exit_name,exit_lat,exit_long,distance_to_nearest_exit,interstate
0,962,47.484727,-122.2709634,156,47.4861061,-122.2677827,0.1766,I5
1,1755,47.4851317,-122.2702473,156,47.4861061,-122.2677827,0.1335,I5
2,1284,47.4849093,-122.2715897,156,47.4861061,-122.2677827,0.1963,I5
3,1779,47.4824618,-122.2692206,156,47.4861061,-122.2677827,0.2609,I5
4,858,47.9677294,-122.1965963,192,47.9684224,-122.1978473,0.0752,I5
5,2095,48.1472532,-122.1890676,206,48.1422869,-122.1869123,0.3576,I5
6,1265,47.882229,-122.2307859,186,47.8847509,-122.2304597,0.1751,I5
7,536,48.1114944,-122.1862485,202,48.1038893,-122.1850534,0.5289,I5
8,1217,47.6760544,-122.3190192,nan,47.6769065,-122.320662,0.0966,I5
9,415,48.2396539,-122.2437396,212,48.2421077,-122.2446144,0.1744,I5
10,943,48.2375644,-122.2418167,212,48.2352709,-122.2374372,0.2567,I5
11,1760,48.2685843,-122.2721787,215,48.2708471,-122.2728044,0.1592,I5
12,520,48.0751257,-122.1829033,200,48.079947,-122.1849707,0.3469,I5
13,1030,48.0516262,-122.1826522,199,48.0487267,-122.1836594,0.2059,I5
14,517,47.9820464,-122.1890993,nan,47.9833226,-122.1853609,0.1943,I5
15,66,48.0525208,-122.186268,199,48.0557297,-122.1847277,0.2331,I5
16,941,47.8816625,-122.2306663,186,47.8847509,-122.2304597,0.2138,I5
17,404,48.2101347,-122.2137654,210,48.2063282,-122.2143483,0.2647,I5
18,1088,47.8816348,-122.2369056,186,47.8790697,-122.2369578,0.1774,I5
19,1115,47.7088482,-122.3317952,nan,47.7084293,-122.3303797,0.072,I5
20,2059,48.1876564,-122.1995406,208,48.1842323,-122.1994394,0.2369,I5
21,1266,47.8821731,-122.2366106,186,47.8790697,-122.2369578,0.2153,I5
22,515,47.9123788,-122.2066974,nan,47.9107682,-122.2094924,0.1709,I5
23,2146,48.0776645,-122.1870298,200,48.079947,-122.1849707,0.1843,I5
24,857,47.9220901,-122.2076098,nan,47.9242083,-122.2047401,0.1979,I5
25,147,48.1347619,-122.1833792,206,48.1422869,-122.1869123,0.5455,I5
26,1582,48.1880744,-122.2061474,208,48.1912897,-122.2061029,0.2224,I5
27,59,47.7084323,-122.3322502,nan,47.7084293,-122.3303797,0.0871,I5
28,521,48.0753694,-122.1821415,200,48.079947,-122.1849707,0.3426,I5
29,1306,47.8816977,-122.2295281,186,47.8847509,-122.2304597,0.2156,I5
30,1004,48.051591,-122.1817565,199,48.0487267,-122.1836594,0.2168,I5
31,991,48.0760818,-122.1819865,200,48.079947,-122.1849707,0.3008,I5
32,2063,48.1883989,-122.1995682,208,48.1842323,-122.1994394,0.2883,I5
33,482,48.05208,-122.1817114,199,48.0487267,-122.1836594,0.2488,I5
34,998,47.8500569,-122.2542202,183,47.8537439,-122.2555751,0.2627,I5
35,2054,48.1883778,-122.1988343,208,48.1842323,-122.1994394,0.2881,I5
36,2140,48.1875994,-122.1980032,208,48.1842323,-122.1994394,0.2421,I5
37,975,48.0520302,-122.1809752,199,48.0487267,-122.1836594,0.26,I5
38,1251,48.1521886,-122.1850802,206,48.1574791,-122.1898732,0.4276,I5
39,1900,47.6833425,-122.3177418,171,47.6836175,-122.3226278,0.2283,I5
40,8,47.6060396,-122.3241049,165,47.6037532,-122.3268247,0.2027,I5
41,1293,47.8174755,-122.2929999,nan,47.8162173,-122.2884729,0.2276,I5
42,1292,47.8176655,-122.2926942,nan,47.8162173,-122.2884729,0.2202,I5
43,2052,47.8180978,-122.2918857,nan,47.8162173,-122.2884729,0.2051,I5
44,280,47.9047218,-122.2077097,nan,47.9046069,-122.2129464,0.243,I5
45,291,48.0998083,-122.1885531,202,48.0959978,-122.1847278,0.3173,I5
46,986,47.882195,-122.2391682,186,47.8790697,-122.2369578,0.2393,I5
47,1311,48.0538162,-122.1883356,199,48.0557297,-122.1847277,0.2129,I5
48,2145,47.6610693,-122.3180578,nan,47.6583538,-122.3219783,0.262,I5
49,891,47.9075562,-122.2065579,nan,47.9107682,-122.2094924,0.2605,I5
50,12,48.3405952,-122.3318182,221,48.3373548,-122.3344939,0.2557,I5
51,245,47.7768975,-122.3135036,nan,47.778466,-122.3172563,0.2054,I5
52,719,47.8204401,-122.2703084,nan,47.8232296,-122.2759209,0.3243,I5
53,636,47.8499877,-122.2521912,183,47.8537439,-122.2555751,0.3036,I5
54,514,47.7772935,-122.3130353,nan,47.778466,-122.3172563,0.2123,I5
55,1212,47.7083168,-122.3344069,nan,47.7084293,-122.3303797,0.1876,I5
56,920,47.5813182,-122.3144441,163 B,47.5793559,-122.3193023,0.2642,I5
57,1317,47.6615481,-122.3267467,nan,47.6583538,-122.3219783,0.3133,I5
58,1118,47.8495803,-122.2623638,183,47.8537439,-122.2555751,0.4269,I5
59,1726,47.6904792,-122.3226863,172,47.6855752,-122.3244676,0.3492,I5
60,1215,47.6610403,-122.3169288,nan,47.6583538,-122.3219783,0.2998,I5
61,519,48.047848,-122.1769194,198,48.0447814,-122.1817074,0.3066,I5
62,2053,48.148862,-122.1825506,206,48.1422869,-122.1869123,0.4974,I5
63,1236,47.5813117,-122.3137314,163 B,47.5793559,-122.3193023,0.293,I5
64,448,47.8209454,-122.2662924,182,47.8255503,-122.2701076,0.3645,I5
65,1000,47.8823299,-122.2427068,186,47.8790697,-122.2369578,0.3493,I5
66,1221,47.5956502,-122.3268603,2 A,47.5922816,-122.3261897,0.2351,I5
67,999,48.152733,-122.1824086,206,48.1574791,-122.1898732,0.4758,I5
68,77,47.6648266,-122.3280501,nan,47.6680396,-122.3225548,0.339,I5
69,1262,47.5472492,-122.3213008,161,47.5516486,-122.3170888,0.3623,I5
70,1585,47.4875954,-122.2581292,156,47.4861061,-122.2677827,0.4628,I5
71,1885,47.4869938,-122.2582047,156,47.4861061,-122.2677827,0.4519,I5
72,1512,47.8060477,-122.2920518,nan,47.8104498,-122.2984,0.4239,I5
73,2046,48.0616688,-122.1774108,199,48.0557297,-122.1847277,0.5322,I5
74,607,47.6629109,-122.3144444,nan,47.6583538,-122.3219783,0.4718,I5
75,311,47.8216648,-122.293126,nan,47.8162173,-122.2884729,0.4344,I5
76,13,48.3408743,-122.3410856,221,48.3453352,-122.3362734,0.3797,I5
77,23,47.6251789,-122.3203029,166,47.623249,-122.3287142,0.4142,I5
78,1298,47.8208542,-122.262585,182,47.8255503,-122.2701076,0.477,I5
79,575,48.1000128,-122.1924823,202,48.1038893,-122.1850534,0.4355,I5
80,1513,47.7993458,-122.3224035,179,47.7950914,-122.3154785,0.436,I5
81,2138,48.0583792,-122.176548,199,48.0557297,-122.1847277,0.4202,I5
82,1076,47.6058679,-122.317069,nan,47.6018307,-122.3243917,0.4412,I5
83,1069,48.341494,-122.3413116,221,48.3453352,-122.3362734,0.3525,I5
84,1815,48.1520868,-122.1804002,206,48.1574791,-122.1898732,0.5746,I5
85,1826,48.062049,-122.1764292,200,48.068138,-122.1847688,0.571,I5
86,2104,48.0687407,-122.1765239,200,48.068138,-122.1847688,0.3834,I5
87,1722,47.5061374,-122.2911136,158,47.510988,-122.2842042,0.4656,I5
88,2096,47.5624993,-122.3298991,162,47.5614353,-122.3220541,0.3735,I5
89,1248,47.6143358,-122.3205159,166,47.613159,-122.3300795,0.4533,I5
