,gas_key,gas_lat,gas_long,exit_name,exit_lat,exit_long,distance_to_nearest_exit,interstate
0,1358,47.6535015,-117.3755272,283 A,47.6540505,-117.3696848,0.2749,I90
1,1124,47.6172284,-117.5060693,276,47.6162645,-117.5088729,0.1467,I90
2,1437,47.6545241,-117.3606924,283 B,47.6539055,-117.3666861,0.2825,I90
3,1407,47.6533844,-117.4153141,281,47.6526577,-117.4158314,0.0557,I90
4,1058,47.6522954,-117.4360318,280,47.6497948,-117.4432632,0.3788,I90
5,1366,47.6536931,-117.4262019,280 A,47.6527298,-117.4239379,0.1248,I90
6,1396,47.663564,-117.3159502,286,47.6668289,-117.3059995,0.5156,I90
7,1419,47.6538258,-117.4109402,281,47.6526577,-117.4158314,0.2418,I90
8,2179,47.6670757,-117.1525096,293,47.6656999,-117.1506839,0.1276,I90
9,759,47.1026018,-119.3148145,176,47.1006542,-119.3098556,0.2696,I90
10,1382,47.6533258,-117.4352164,280,47.6497948,-117.4432632,0.4475,I90
11,1488,47.2091239,-118.2268049,231,47.2083785,-118.2328452,0.2885,I90
12,1430,47.6520488,-117.3596186,283 B,47.6539055,-117.3666861,0.3535,I90
13,1126,47.1188202,-118.3654691,221,47.1198808,-118.3612717,0.2107,I90
14,275,47.1013411,-119.248285,179,47.0993007,-119.2478537,0.1426,I90
15,1300,47.6489754,-117.450993,279,47.6482749,-117.4478267,0.1553,I90
16,414,47.1038591,-119.832914,151,47.0997832,-119.8366803,0.3331,I90
17,1444,47.654759,-117.4139002,281,47.6526577,-117.4158314,0.1709,I90
18,1694,47.1178451,-118.3677524,221,47.1198808,-118.3612717,0.336,I90
19,1408,47.654744,-117.4246604,280 A,47.6527298,-117.4239379,0.1433,I90
20,345,47.113531,-118.3667992,220,47.1137608,-118.3726957,0.278,I90
21,1337,47.6548463,-117.4107715,281,47.6526577,-117.4158314,0.2802,I90
22,1406,47.6712631,-117.2823468,287,47.6745724,-117.2768355,0.3439,I90
23,1389,47.6538078,-117.4358922,280,47.6497948,-117.4432632,0.4416,I90
24,260,46.9706968,-120.5381169,109,46.973395,-120.5396861,0.2008,I90
25,164,47.0832884,-119.8594695,149,47.0873677,-119.856894,0.3071,I90
26,344,47.1133081,-118.3667325,220,47.1137608,-118.3726957,0.2825,I90
27,15,47.0829086,-119.8600033,149,47.0813853,-119.8657172,0.289,I90
28,1141,47.1178222,-118.3686569,220,47.1137608,-118.3726957,0.3392,I90
29,1552,46.9753686,-120.5412508,109,46.973395,-120.5396861,0.1552,I90
30,1369,47.6664436,-117.19614,291 A,47.6714007,-117.2070129,0.6116,I90
31,1387,47.6713909,-117.2392955,289,47.6742513,-117.2333119,0.3418,I90
32,559,47.1019324,-119.2480485,179,47.0993007,-119.2478537,0.1823,I90
33,538,47.1015072,-119.2442268,179,47.0993007,-119.2478537,0.229,I90
34,1125,47.6664684,-117.1970105,291 A,47.6714007,-117.2070129,0.5775,I90
35,1328,47.6546154,-117.4336137,280 A,47.6527298,-117.4239379,0.4693,I90
36,756,47.6682914,-117.1541367,293,47.6656999,-117.1506839,0.2408,I90
37,1998,47.6207592,-117.5067537,276,47.6162645,-117.5088729,0.3262,I90
38,1388,47.6548082,-117.4002702,282,47.6520627,-117.4029572,0.2275,I90
39,227,47.1020659,-119.2463028,179,47.0993007,-119.2478537,0.2047,I90
40,599,47.1019342,-119.2452244,179,47.0993007,-119.2478537,0.2202,I90
41,1999,47.6206814,-117.5072777,276,47.6162645,-117.5088729,0.3144,I90
42,2044,47.5617997,-117.5939921,270,47.5631671,-117.5981685,0.2167,I90
43,228,46.9757506,-120.5416555,109,46.973395,-120.5396861,0.1876,I90
44,1987,47.671442,-117.1052583,296,47.677748,-117.1035439,0.4434,I90
45,1365,47.6570554,-117.3571586,283 B,47.6539055,-117.3666861,0.4945,I90
46,1356,47.6741318,-117.1117147,296,47.6686232,-117.1163505,0.438,I90
47,1064,46.9434542,-119.9896804,136,46.9402989,-119.9889202,0.2212,I90
48,1142,47.5901616,-117.5612134,272,47.5941583,-117.5620265,0.279,I90
49,1342,47.6704228,-117.2400988,289,47.6742513,-117.2333119,0.4124,I90
50,1454,47.6776554,-117.2391366,289,47.6742513,-117.2333119,0.3592,I90
51,1933,46.9750835,-120.4139088,115,46.971396,-120.4195895,0.3701,I90
52,1348,47.6698344,-117.2819404,287,47.6745724,-117.2768355,0.4049,I90
53,539,47.1044591,-119.310897,176,47.1006542,-119.3098556,0.2677,I90
54,1434,47.677649,-117.2832396,287,47.6745724,-117.2768355,0.3664,I90
55,1440,47.5939555,-117.5689869,272,47.5941583,-117.5620265,0.325,I90
56,1132,47.6579486,-117.3305752,285,47.6537132,-117.3302489,0.2934,I90
57,144,46.9765549,-120.5428921,109,46.973395,-120.5396861,0.2658,I90
58,780,46.9759501,-120.4128974,115,46.9717185,-120.4073255,0.3935,I90
59,1422,47.6608052,-117.1532423,293,47.6656999,-117.1506839,0.3589,I90
60,1442,47.6605888,-117.1539348,293,47.6656999,-117.1506839,0.3846,I90
61,296,46.9775239,-120.5426587,109,46.973395,-120.5396861,0.3182,I90
62,1741,46.9770666,-120.5432098,109,46.973395,-120.5396861,0.3036,I90
63,742,47.116495,-118.3898777,nan,47.1127993,-118.3838983,0.3802,I90
64,1451,47.6208172,-117.5118428,276,47.6162645,-117.5088729,0.344,I90
65,1359,47.6459478,-117.4346928,280,47.6497948,-117.4432632,0.4799,I90
66,1397,47.6476124,-117.3895416,282 A,47.6539714,-117.3873932,0.4511,I90
67,618,47.6676121,-117.1053282,296,47.6686232,-117.1163505,0.5182,I90
68,1344,47.6790002,-117.2939375,287,47.6723424,-117.2913517,0.476,I90
69,1405,47.6567476,-117.3098635,285,47.6562569,-117.3227278,0.6003,I90
70,1438,47.6813408,-117.2839623,287,47.6745724,-117.2768355,0.5739,I90
71,1424,47.6621558,-117.3574871,283 B,47.6539055,-117.3666861,0.7137,I90
72,1370,47.6646347,-117.3259912,285,47.6562569,-117.3227278,0.5991,I90
73,1420,47.6645062,-117.2184576,291 B,47.6712856,-117.2074152,0.696,I90
74,1395,47.656674,-117.1727104,291,47.6662231,-117.1812454,0.771,I90
75,1368,47.2978354,-117.9733204,245,47.3065209,-117.9764083,0.618,I90
76,165,47.6633057,-117.3717069,283 A,47.6540505,-117.3696848,0.6471,I90
77,1163,47.6639222,-117.2185781,291 B,47.6712856,-117.2074152,0.7279,I90
78,1187,47.664745,-117.327647,285,47.6562569,-117.3227278,0.6303,I90
79,1486,47.6575537,-117.194075,291,47.6662231,-117.1812454,0.8467,I90
80,757,47.6641882,-117.2664883,289,47.6745425,-117.2573388,0.8334,I90
81,1433,47.6610242,-117.2402828,289,47.6742513,-117.2333119,0.9708,I90
82,1345,47.6658774,-117.4116218,281,47.6526577,-117.4158314,0.9352,I90
83,1447,47.6400176,-117.3633985,283 B,47.6539055,-117.3666861,0.9728,I90
84,1443,47.6567852,-117.2069682,291 B,47.6712856,-117.2074152,1.0032,I90
85,1441,47.6755825,-117.3231078,286,47.6668289,-117.3059995,1.0008,I90
86,454,47.1167745,-119.2640269,179,47.0993007,-119.2478537,1.4285,I90
87,1357,47.6529855,-117.1963415,291,47.6662231,-117.1812454,1.1546,I90
88,1392,47.6573024,-117.280706,287,47.6723424,-117.2913517,1.1525,I90
89,1446,47.6698506,-117.396295,282 A,47.6539714,-117.3873932,1.1741,I90
90,1155,46.9878358,-120.5498352,109,46.973395,-120.5396861,1.1078,I90
91,1341,47.6681228,-117.4430779,280,47.6497948,-117.4432632,1.2678,I90
92,1648,47.6567414,-117.2608937,289,47.6745425,-117.2573388,1.2424,I90
93,1391,47.672039,-117.3642624,283 B,47.6539055,-117.3666861,1.2594,I90
94,598,47.6720604,-117.3817409,282 B,47.6539797,-117.384631,1.2579,I90
95,2103,47.655485,-117.2394922,289,47.6742513,-117.2333119,1.3296,I90
96,1729,46.9910354,-120.547926,109,46.973395,-120.5396861,1.2807,I90
97,270,47.6899267,-117.1962615,291 A,47.6714007,-117.2070129,1.3758,I90
98,1993,47.6731361,-117.4106137,281,47.6526577,-117.4158314,1.4372,I90
99,1439,47.6947013,-117.2192188,291 A,47.6742019,-117.2259737,1.4524,I90
100,1415,47.6517996,-117.2402551,289,47.6742513,-117.2333119,1.5863,I90
101,1467,47.6742793,-117.4372021,280 A,47.6527298,-117.4239379,1.6136,I90
102,1390,47.675472,-117.3963356,282 A,47.6539714,-117.3873932,1.5444,I90
103,1350,47.6759314,-117.3968852,282 A,47.6539714,-117.3873932,1.582,I90
104,1409,47.6751913,-117.4368109,280 A,47.6527298,-117.4239379,1.6654,I90
105,1164,46.9940909,-120.5517604,109,46.973395,-120.5396861,1.5408,I90
106,1436,47.6765118,-117.3967822,282 A,47.6539714,-117.3873932,1.6193,I90
107,1393,47.6278458,-117.4022206,282,47.6520627,-117.4029572,1.6754,I90
108,1355,47.695482,-117.2027988,291 A,47.6714007,-117.2070129,1.6772,I90
109,1349,47.6787152,-117.3885193,282 A,47.6539714,-117.3873932,1.7123,I90
110,1383,47.6779286,-117.4264223,280 A,47.6527298,-117.4239379,1.7469,I90
111,541,47.6280537,-117.3709031,283 B,47.6539055,-117.3666861,1.7989,I90
112,81,46.9993061,-120.5485852,106,47.002554,-120.5864223,1.799,I90
113,548,46.999436,-120.5492075,106,47.002554,-120.5864223,1.7687,I90
114,1990,47.6796062,-117.4359845,280 A,47.6527298,-117.4239379,1.9419,I90
115,1781,47.6805482,-117.4077126,281,47.6522657,-117.4042165,1.9631,I90
116,1847,47.1306652,-119.269576,179,47.0993007,-119.2478537,2.3984,I90
117,83,47.0022182,-120.5332538,109,46.973395,-120.5396861,2.0167,I90
118,1327,47.6201968,-117.4017234,282,47.6520627,-117.4029572,2.2049,I90
119,1036,47.682429,-117.4435717,280 A,47.6527298,-117.4239379,2.2487,I90
120,1493,47.0002625,-120.556951,106,47.002554,-120.5864223,1.3993,I90
121,1494,47.0003339,-120.5569118,106,47.002554,-120.5864223,1.4005,I90
122,1354,47.6858837,-117.365435,283 A,47.6540505,-117.3696848,2.2108,I90
123,1060,47.6849223,-117.4107786,281,47.6526577,-117.4158314,2.2441,I90
124,1423,47.6422193,-117.2618257,289,47.6745425,-117.2573388,2.2456,I90
125,1347,47.6180914,-117.4321903,279,47.645351,-117.4540747,2.1438,I90
126,1476,47.6860814,-117.4268444,280 A,47.6527298,-117.4239379,2.3109,I90
127,1418,47.7247256,-117.0683286,299,47.6939743,-117.054226,2.2261,I90
128,1450,47.7249616,-117.0682377,299,47.6939743,-117.054226,2.2404,I90
129,1399,47.688844,-117.378621,283 A,47.6538524,-117.3819088,2.4252,I90
130,1384,47.6882861,-117.3953771,282 A,47.6539714,-117.3873932,2.4025,I90
