,gas_key,gas_lat,gas_long,exit_name,exit_lat,exit_long,distance_to_nearest_exit,interstate
0,1101,46.0098155,-122.8458198,30,46.0036486,-122.843998,0.4355,I5
1,832,47.0445273,-122.8450987,108,47.0445824,-122.8432981,0.085,I5
2,1783,45.9118804,-122.7454008,21,45.9176067,-122.7499613,0.4528,I5
3,1033,45.9083024,-122.7448597,21,45.9025012,-122.7405472,0.4518,I5
4,488,46.710777,-122.9742676,82,46.7176134,-122.9761198,0.481,I5
5,1663,45.9066473,-122.7417659,21,45.9025012,-122.7405472,0.2927,I5
6,429,46.4189462,-122.8899741,59,46.4211316,-122.8911946,0.162,I5
7,320,46.9996041,-122.9134175,102,46.9966991,-122.9139765,0.2027,I5
8,1932,45.9845776,-122.8272141,27,45.9836913,-122.8283873,0.0833,I5
9,1853,45.9115737,-122.7472796,21,45.9176067,-122.7499613,0.4368,I5
10,1763,45.7197645,-122.6561886,36,45.7218825,-122.6547463,0.1622,I5
11,1747,45.6755588,-122.6633026,4,45.6715671,-122.6645971,0.2831,I5
12,1690,46.4182457,-122.8920534,59,46.4156845,-122.8903778,0.1943,I5
13,917,46.7931432,-123.0110601,88,46.7983597,-123.0095032,0.3683,I5
14,1229,46.1444177,-122.8959687,39,46.140454,-122.8976073,0.2852,I5
15,1652,46.2849005,-122.9010053,49,46.2807315,-122.9002465,0.2906,I5
16,985,45.7148121,-122.6518681,7 A,45.7126385,-122.6528771,0.1581,I5
17,624,46.7116268,-122.9738649,82,46.7176134,-122.9761198,0.4277,I5
18,220,46.7283604,-122.9783507,82,46.7335902,-122.9755046,0.3861,I5
19,1023,45.7173087,-122.6528096,7 B,45.7173002,-122.6545494,0.084,I5
20,1048,46.792296,-123.0110402,88,46.7983597,-123.0095032,0.4257,I5
21,384,46.60601,-122.9090421,72,46.6089591,-122.9100378,0.2094,I5
22,395,46.9541623,-122.9353285,99,46.9570058,-122.9363869,0.2029,I5
23,466,46.606714,-122.9055421,72,46.6089591,-122.9100378,0.2641,I5
24,343,46.604111,-122.9079167,72,46.6021303,-122.9044944,0.2127,I5
25,1655,46.2848974,-122.9006415,49,46.2807315,-122.9002465,0.2888,I5
26,1593,45.6675804,-122.66448,4,45.6715671,-122.6645971,0.2758,I5
27,1929,45.8528016,-122.700926,16,45.8557292,-122.7047193,0.2728,I5
28,167,46.607128,-122.9056643,72,46.6089591,-122.9100378,0.2434,I5
29,431,46.6055938,-122.9090045,72,46.6089591,-122.9100378,0.2379,I5
30,1100,45.9272998,-122.7536923,22,45.9236452,-122.7534494,0.2531,I5
31,562,46.6757136,-122.9779355,79,46.6723811,-122.978491,0.232,I5
32,441,47.0415807,-122.8458624,107,47.0434328,-122.8467917,0.1354,I5
33,116,46.6471459,-122.9568898,76,46.6433797,-122.9537383,0.3004,I5
34,194,46.6463653,-122.9552459,76,46.6433797,-122.9537383,0.2186,I5
35,545,46.7276394,-122.9789185,82,46.7335902,-122.9755046,0.4423,I5
36,994,45.9063672,-122.7403146,21,45.9025012,-122.7405472,0.2676,I5
37,1640,45.8172276,-122.6841113,14,45.8215387,-122.6888377,0.3753,I5
38,1171,46.6735336,-122.9746096,79,46.6723811,-122.978491,0.2007,I5
39,1098,45.7507872,-122.6647734,9,45.7535744,-122.6637931,0.1985,I5
40,1764,46.01897,-122.852237,30,46.0232715,-122.8525192,0.2978,I5
41,1651,45.8531408,-122.7006434,16,45.8557292,-122.7047193,0.2657,I5
42,394,46.9531263,-122.9349907,99,46.9570058,-122.9363869,0.2763,I5
43,420,47.0007106,-122.9089186,102,47.0032349,-122.910375,0.1876,I5
44,1930,45.9073309,-122.7405212,21,45.9025012,-122.7405472,0.3341,I5
45,1567,45.6811801,-122.6620464,4,45.6844439,-122.6647131,0.26,I5
46,1099,45.7507166,-122.6651124,9,45.7535744,-122.6637931,0.2077,I5
47,95,46.7262008,-122.9745094,82,46.7335902,-122.9755046,0.5133,I5
48,383,46.3915742,-122.9041177,57,46.3953573,-122.9006785,0.3089,I5
49,1916,46.2857972,-122.900181,49,46.2807315,-122.9002465,0.3504,I5
50,1799,46.7278897,-122.9795544,82,46.7335902,-122.9755046,0.4386,I5
51,1271,45.6787923,-122.6671606,4,45.6844439,-122.6647131,0.4084,I5
52,32,46.5475776,-122.8791994,68,46.5427855,-122.876513,0.3553,I5
53,1191,45.7159826,-122.650947,7 B,45.7173002,-122.6545494,0.1964,I5
54,1068,47.0001899,-122.9150807,102,46.9966991,-122.9139765,0.247,I5
55,33,46.5844372,-122.8853267,71,46.579128,-122.8839875,0.3727,I5
56,625,46.9233834,-122.9431862,99,46.9474952,-122.9389895,1.6796,I5
57,835,47.0470091,-122.8447731,108,47.0445824,-122.8432981,0.1817,I5
58,1169,45.7241443,-122.6518296,36,45.7218825,-122.6547463,0.2105,I5
59,172,45.8504323,-122.7050677,16,45.8557292,-122.7047193,0.3668,I5
60,1780,46.2854597,-122.8995442,49,46.2807315,-122.9002465,0.3288,I5
61,1027,45.6925975,-122.6647766,5,45.6876826,-122.6638579,0.3429,I5
62,997,46.1450395,-122.8944477,39,46.140454,-122.8976073,0.3515,I5
63,1013,46.546954,-122.8734565,68,46.5427855,-122.876513,0.3229,I5
64,1261,45.7180164,-122.657898,7 B,45.7173002,-122.6545494,0.1691,I5
65,1455,46.4757119,-122.8862205,63,46.4708944,-122.8839892,0.3498,I5
66,402,46.9522471,-122.9408258,99,46.9474952,-122.9389895,0.3399,I5
67,1699,45.8155598,-122.6892001,14,45.8215387,-122.6888377,0.4139,I5
68,1095,45.6933364,-122.6648225,5,45.6876826,-122.6638579,0.3938,I5
69,2021,46.801908,-123.0113204,88,46.7983597,-123.0095032,0.2601,I5
70,284,46.9963294,-122.918618,102,46.9966991,-122.9139765,0.2205,I5
71,561,46.3922738,-122.9051419,57,46.3953573,-122.9006785,0.3014,I5
72,489,46.8018868,-123.0117874,88,46.7983597,-123.0095032,0.2669,I5
73,1192,46.1421463,-122.9013001,39,46.140454,-122.8976073,0.2122,I5
74,1931,45.9084292,-122.7394124,21,45.9025012,-122.7405472,0.4137,I5
75,1313,46.9995484,-122.9169311,102,46.9966991,-122.9139765,0.2414,I5
76,680,46.7292005,-122.9809835,82,46.7335902,-122.9755046,0.3996,I5
77,1973,45.6991561,-122.6530425,5,45.6983198,-122.6586364,0.2764,I5
78,1273,45.6969722,-122.6541423,5,45.6983198,-122.6586364,0.2363,I5
79,1044,45.6322088,-122.6696984,1 D,45.6297702,-122.6656094,0.2599,I5
80,123,46.801908,-123.0126769,88,46.7983597,-123.0095032,0.2878,I5
81,2067,46.3923741,-122.9060399,57,46.3953573,-122.9006785,0.3286,I5
82,278,47.0452088,-122.8688457,107,47.0403534,-122.8593819,0.5584,I5
83,1233,47.0393054,-122.8907466,105 A,47.0359221,-122.8832424,0.4242,I5
84,1083,45.650118,-122.6672517,2,45.6524697,-122.6627628,0.2712,I5
85,498,47.0456813,-122.8683395,107,47.0403534,-122.8593819,0.5604,I5
86,2023,47.0456919,-122.8683265,107,47.0403534,-122.8593819,0.5605,I5
87,1021,45.6496064,-122.667251,2,45.6524697,-122.6627628,0.2938,I5
88,831,47.0374553,-122.8466109,107,47.0434328,-122.8467917,0.4136,I5
89,1308,46.5467868,-122.8710202,68,46.5427855,-122.876513,0.3806,I5
90,329,46.7231056,-122.9709641,82,46.7176134,-122.9761198,0.4518,I5
91,189,47.0399305,-122.8914419,105 A,47.0359221,-122.8832424,0.4757,I5
92,736,47.0181111,-122.8989945,104,47.0171169,-122.9058685,0.3314,I5
93,684,46.9935836,-122.9079799,102,46.9966991,-122.9139765,0.3556,I5
