,gas_key,gas_lat,gas_long,exit_name,exit_lat,exit_long,distance_to_nearest_exit,interstate
0,1358,47.6535015,-117.3755272,283 A,47.6540505,-117.3696848,0.2749,I90
1,1124,47.6172284,-117.5060693,276,47.6162645,-117.5088729,0.1467,I90
2,1437,47.6545241,-117.3606924,283 B,47.6539055,-117.3666861,0.2825,I90
3,1407,47.6533844,-117.4153141,281,47.6526577,-117.4158314,0.0557,I90
4,1058,47.6522954,-117.4360318,280,47.6497948,-117.4432632,0.3788,I90
5,57,47.5776843,-122.1370505,nan,47.578947,-122.1347114,0.1398,I90
6,134,47.0537516,-120.6619848,101,47.0532219,-120.662653,0.0483,I90
7,258,47.053554,-120.6612486,101,47.0532219,-120.662653,0.0701,I90
8,1366,47.6536931,-117.4262019,280 A,47.6527298,-117.4239379,0.1248,I90
9,1396,47.663564,-117.3159502,286,47.6668289,-117.3059995,0.5156,I90
10,1419,47.6538258,-117.4109402,281,47.6526577,-117.4158314,0.2418,I90
11,390,47.1921708,-120.9353024,84,47.19042,-120.9318804,0.2013,I90
12,467,47.2470782,-121.1844541,70,47.2469366,-121.1857406,0.0612,I90
13,129,47.5384559,-122.0359822,18,47.5393936,-122.0349382,0.0811,I90
14,2179,47.6670757,-117.1525096,293,47.6656999,-117.1506839,0.1276,I90
15,444,47.5387721,-122.0367207,18,47.5393936,-122.0349382,0.0937,I90
16,1650,47.5361456,-122.034045,17,47.5371917,-122.0324124,0.1051,I90
17,1286,47.5816254,-122.167695,nan,47.5807649,-122.170383,0.1388,I90
18,1818,47.1950974,-120.9548308,84,47.1936165,-120.9658761,0.5292,I90
19,423,47.5258556,-121.9366853,22,47.5237467,-121.9365938,0.1459,I90
20,1552,46.9753686,-120.5412508,109,46.973395,-120.5396861,0.1552,I90
21,1199,47.4875577,-121.7936056,31,47.4847084,-121.7925846,0.2028,I90
22,759,47.1026018,-119.3148145,176,47.1006542,-119.3098556,0.2696,I90
23,1488,47.2091239,-118.2268049,231,47.2083785,-118.2328452,0.2885,I90
24,1382,47.6533258,-117.4352164,280,47.6497948,-117.4432632,0.4475,I90
25,1430,47.6520488,-117.3596186,283 B,47.6539055,-117.3666861,0.3535,I90
26,1126,47.1188202,-118.3654691,221,47.1198808,-118.3612717,0.2107,I90
27,228,46.9757506,-120.5416555,109,46.973395,-120.5396861,0.1876,I90
28,275,47.1013411,-119.248285,179,47.0993007,-119.2478537,0.1426,I90
29,1103,47.4888306,-121.7944373,31,47.4847084,-121.7925846,0.298,I90
30,1710,47.4229556,-121.4124998,53,47.4243577,-121.4110412,0.1186,I90
31,414,47.1038591,-119.832914,151,47.0997832,-119.8366803,0.3331,I90
32,1444,47.654759,-117.4139002,281,47.6526577,-117.4158314,0.1709,I90
33,1300,47.6489754,-117.450993,279,47.6482749,-117.4478267,0.1553,I90
34,1694,47.1178451,-118.3677524,221,47.1198808,-118.3612717,0.336,I90
35,1408,47.654744,-117.4246604,280 A,47.6527298,-117.4239379,0.1433,I90
36,345,47.113531,-118.3667992,220,47.1137608,-118.3726957,0.278,I90
37,2099,47.0053363,-120.5868835,106,47.002554,-120.5864223,0.1937,I90
38,1337,47.6548463,-117.4107715,281,47.6526577,-117.4158314,0.2802,I90
39,1406,47.6712631,-117.2823468,287,47.6745724,-117.2768355,0.3439,I90
40,1389,47.6538078,-117.4358922,280,47.6497948,-117.4432632,0.4416,I90
41,589,47.1963122,-120.9559942,84,47.1936165,-120.9658761,0.5005,I90
42,260,46.9706968,-120.5381169,109,46.973395,-120.5396861,0.2008,I90
43,344,47.1133081,-118.3667325,220,47.1137608,-118.3726957,0.2825,I90
44,164,47.0832884,-119.8594695,149,47.0873677,-119.856894,0.3071,I90
45,217,47.5377059,-122.0367257,18,47.5393936,-122.0349382,0.1435,I90
46,15,47.0829086,-119.8600033,149,47.0813853,-119.8657172,0.289,I90
47,1299,47.576304,-122.1405708,nan,47.5785468,-122.1398773,0.1585,I90
48,1141,47.1178222,-118.3686569,220,47.1137608,-118.3726957,0.3392,I90
49,144,46.9765549,-120.5428921,109,46.973395,-120.5396861,0.2658,I90
50,1369,47.6664436,-117.19614,291 A,47.6714007,-117.2070129,0.6116,I90
51,1245,47.5762099,-122.1398741,nan,47.5785468,-122.1398773,0.1616,I90
52,559,47.1019324,-119.2480485,179,47.0993007,-119.2478537,0.1823,I90
53,1176,47.4891922,-121.7939521,31,47.4847084,-121.7925846,0.3167,I90
54,1387,47.6713909,-117.2392955,289,47.6742513,-117.2333119,0.3418,I90
55,1222,47.4676484,-121.7168122,34,47.4670798,-121.722899,0.2873,I90
56,538,47.1015072,-119.2442268,179,47.0993007,-119.2478537,0.229,I90
57,1898,47.5944641,-122.3101247,3,47.5927191,-122.3121305,0.1527,I90
58,1125,47.6664684,-117.1970105,291 A,47.6714007,-117.2070129,0.5775,I90
59,756,47.6682914,-117.1541367,293,47.6656999,-117.1506839,0.2408,I90
60,1328,47.6546154,-117.4336137,280 A,47.6527298,-117.4239379,0.4693,I90
61,1998,47.6207592,-117.5067537,276,47.6162645,-117.5088729,0.3262,I90
62,1388,47.6548082,-117.4002702,282,47.6520627,-117.4029572,0.2275,I90
63,1918,47.5455117,-122.0618621,15,47.5461753,-122.0544731,0.348,I90
64,227,47.1020659,-119.2463028,179,47.0993007,-119.2478537,0.2047,I90
65,599,47.1019342,-119.2452244,179,47.0993007,-119.2478537,0.2202,I90
66,1741,46.9770666,-120.5432098,109,46.973395,-120.5396861,0.3036,I90
67,1999,47.6206814,-117.5072777,276,47.6162645,-117.5088729,0.3144,I90
68,2044,47.5617997,-117.5939921,270,47.5631671,-117.5981685,0.2167,I90
69,490,47.1950401,-120.941584,84,47.19042,-120.9318804,0.5569,I90
70,195,47.194962,-120.9407675,84,47.19042,-120.9318804,0.5227,I90
71,1987,47.671442,-117.1052583,296,47.677748,-117.1035439,0.4434,I90
72,1365,47.6570554,-117.3571586,283 B,47.6539055,-117.3666861,0.4945,I90
73,1356,47.6741318,-117.1117147,296,47.6686232,-117.1163505,0.438,I90
74,1657,47.5768335,-122.169135,nan,47.5776946,-122.1738265,0.2269,I90
75,7,47.5442953,-122.0365967,17,47.5428659,-122.0411447,0.2342,I90
76,231,47.0059764,-120.5858983,106,47.002554,-120.5864223,0.238,I90
77,1064,46.9434542,-119.9896804,136,46.9402989,-119.9889202,0.2212,I90
78,1967,47.4680912,-121.715579,34,47.4670798,-121.722899,0.3494,I90
79,266,47.0070639,-120.5869983,106,47.002554,-120.5864223,0.3131,I90
80,1142,47.5901616,-117.5612134,272,47.5941583,-117.5620265,0.279,I90
81,296,46.9775239,-120.5426587,109,46.973395,-120.5396861,0.3182,I90
82,130,47.5515934,-122.0596399,15,47.5461753,-122.0544731,0.4457,I90
83,1342,47.6704228,-117.2400988,289,47.6742513,-117.2333119,0.4124,I90
84,923,47.5765613,-122.1697207,nan,47.5776946,-122.1738265,0.207,I90
85,1454,47.6776554,-117.2391366,289,47.6742513,-117.2333119,0.3592,I90
86,1933,46.9750835,-120.4139088,115,46.971396,-120.4195895,0.3701,I90
87,1348,47.6698344,-117.2819404,287,47.6745724,-117.2768355,0.4049,I90
88,539,47.1044591,-119.310897,176,47.1006542,-119.3098556,0.2677,I90
89,1434,47.677649,-117.2832396,287,47.6745724,-117.2768355,0.3664,I90
90,1181,47.4688453,-121.7154915,34,47.4670798,-121.722899,0.3673,I90
91,1440,47.5939555,-117.5689869,272,47.5941583,-117.5620265,0.325,I90
92,1132,47.6579486,-117.3305752,285,47.6537132,-117.3302489,0.2934,I90
93,780,46.9759501,-120.4128974,115,46.9717185,-120.4073255,0.3935,I90
94,1479,47.0079204,-120.5862138,106,47.002554,-120.5864223,0.3713,I90
95,1422,47.6608052,-117.1532423,293,47.6656999,-117.1506839,0.3589,I90
96,1,47.1917123,-120.916225,85,47.1848016,-120.907187,0.6395,I90
97,1442,47.6605888,-117.1539348,293,47.6656999,-117.1506839,0.3846,I90
98,593,47.1929133,-120.9207821,84,47.19042,-120.9318804,0.5494,I90
99,283,47.5503196,-122.0507789,15,47.5461753,-122.0544731,0.3346,I90
100,742,47.116495,-118.3898777,nan,47.1127993,-118.3838983,0.3802,I90
101,1451,47.6208172,-117.5118428,276,47.6162645,-117.5088729,0.344,I90
102,1359,47.6459478,-117.4346928,280,47.6497948,-117.4432632,0.4799,I90
103,1397,47.6476124,-117.3895416,282 A,47.6539714,-117.3873932,0.4511,I90
104,618,47.6676121,-117.1053282,296,47.6686232,-117.1163505,0.5182,I90
105,1193,47.5402413,-122.0197067,18,47.534314,-122.0172215,0.4261,I90
106,1090,47.5516285,-122.0453441,15,47.5461753,-122.0544731,0.5692,I90
107,1089,47.5516233,-122.0450673,15,47.5461753,-122.0544731,0.5787,I90
108,1235,47.5859657,-122.143087,nan,47.5793637,-122.1417467,0.4609,I90
109,1344,47.6790002,-117.2939375,287,47.6723424,-117.2913517,0.476,I90
110,469,47.5299297,-122.0361641,nan,47.5321582,-122.0277239,0.4233,I90
111,1405,47.6567476,-117.3098635,285,47.6562569,-117.3227278,0.6003,I90
112,1438,47.6813408,-117.2839623,287,47.6745724,-117.2768355,0.5739,I90
113,1424,47.6621558,-117.3574871,283 B,47.6539055,-117.3666861,0.7137,I90
114,1370,47.6646347,-117.3259912,285,47.6562569,-117.3227278,0.5991,I90
115,1420,47.6645062,-117.2184576,291 B,47.6712856,-117.2074152,0.696,I90
116,1395,47.656674,-117.1727104,291,47.6662231,-117.1812454,0.771,I90
117,1368,47.2978354,-117.9733204,245,47.3065209,-117.9764083,0.618,I90
118,1163,47.6639222,-117.2185781,291 B,47.6712856,-117.2074152,0.7279,I90
119,165,47.6633057,-117.3717069,283 A,47.6540505,-117.3696848,0.6471,I90
120,1187,47.664745,-117.327647,285,47.6562569,-117.3227278,0.6303,I90
121,1236,47.5813117,-122.3137314,163 B,47.5793559,-122.3193023,0.293,I90
122,920,47.5813182,-122.3144441,163 B,47.5793559,-122.3193023,0.2642,I90
123,1486,47.6575537,-117.194075,291,47.6662231,-117.1812454,0.8467,I90
124,757,47.6641882,-117.2664883,289,47.6745425,-117.2573388,0.8334,I90
125,240,47.5781144,-122.2976155,3 B,47.5905257,-122.3035394,0.9019,I90
126,1536,47.5781015,-122.2964748,3 B,47.5905257,-122.3035394,0.9204,I90
127,1155,46.9878358,-120.5498352,109,46.973395,-120.5396861,1.1078,I90
128,1935,47.4938311,-121.7841797,31,47.4847084,-121.7925846,0.7433,I90
129,1433,47.6610242,-117.2402828,289,47.6742513,-117.2333119,0.9708,I90
130,1345,47.6658774,-117.4116218,281,47.6526577,-117.4158314,0.9352,I90
131,1447,47.6400176,-117.3633985,283 B,47.6539055,-117.3666861,0.9728,I90
