,gas_key,gas_lat,gas_long,num_EV_in_2_miles_of_gas,num_EV_in_5_miles_of_gas,num_EV_in_10_miles_of_gas,num_EV_in_20_miles_of_gas
0,0,48.3937602975452,-122.3298055,3,14,16,36
1,1,47.1917122975452,-120.916225,2,4,4,4
2,2,47.2387038975452,-122.3575768,2,49,125,241
3,3,48.4352268975452,-122.2913239,5,14,16,35
4,4,47.8396080975452,-120.014523,2,4,7,11
5,5,47.1395415975452,-122.0973429,0,1,15,128
6,6,47.2347702975452,-122.5046745,21,77,100,219
7,7,47.5442952975452,-122.0365967,22,30,257,500
8,8,47.6060395975452,-122.3241049,220,276,500,500
9,9,47.6716835975452,-122.1148925,20,113,343,500
10,10,47.9224274975452,-122.2998584,3,14,69,252
11,11,48.2412269975452,-122.3739625,0,2,4,42
12,12,48.3405951975452,-122.3318182,0,1,17,42
13,13,48.3408742975452,-122.3410856,0,1,17,42
14,14,46.2875508975452,-119.3490955,0,8,14,23
15,15,47.0829085975452,-119.8600033,0,0,1,3
16,16,46.7012351975452,-122.957653,3,4,5,6
17,17,47.2130806975452,-123.0998193,0,0,3,57
18,18,48.9203725975452,-122.3223483,0,0,1,30
19,19,48.7567705975452,-122.4602115,15,27,27,44
20,20,48.7732270975452,-122.4570005,11,27,27,42
21,21,48.7173990975452,-122.502472,6,25,27,49
22,22,48.7646144975452,-122.4858024,19,27,27,46
23,23,47.6251788975452,-122.3203029,218,273,500,500
24,24,47.3155676975452,-122.2142107,7,26,90,324
25,25,47.2938204975452,-122.2286604,10,21,74,287
26,26,48.0029776975452,-122.1077834,1,11,30,128
27,27,47.6436760975452,-122.3041808,38,292,500,500
28,28,47.8341683975452,-122.1256246,2,15,108,500
29,29,47.7910271975452,-122.3629663,9,34,147,500
30,30,47.4111952975452,-120.303316,11,14,16,18
31,31,45.8260948975452,-120.8052204,2,2,2,2
32,32,46.5475775975452,-122.8791994,0,0,0,7
33,33,46.5844371975452,-122.8853267,0,0,2,6
34,34,46.8879567975452,-122.3009198,0,0,0,15
35,35,47.4055262975452,-120.2888516,7,14,16,18
36,36,47.6255786975452,-120.2276378,0,1,3,28
37,37,47.8615956975452,-121.9776053,4,4,17,331
38,38,47.1180105975452,-122.2938197,1,15,30,154
39,39,47.1585153975452,-122.039416,0,1,3,91
40,40,47.1774151975452,-122.1848508,0,8,32,197
41,41,47.1453002975452,-122.258855,7,17,31,167
42,42,47.1638282975452,-122.4841219,4,31,108,175
43,43,47.2433837975452,-122.3565415,2,47,125,244
44,44,47.2419124975452,-122.4153676,36,74,127,231
45,45,47.0938385975452,-122.6257477,2,3,24,174
46,46,47.1385048975452,-122.5255984,3,13,87,180
47,47,47.2752862975452,-122.1555212,0,14,44,260
48,48,47.3872546975452,-122.1658606,3,31,118,500
49,49,47.4624242975452,-122.1017014,1,13,145,500
50,50,47.4624782975452,-122.2043609,29,72,171,500
51,51,47.4693727975452,-122.2535219,27,84,185,500
52,52,47.2714384975452,-122.5164306,11,76,98,235
53,53,47.3087103975452,-122.5780979,5,15,88,243
54,54,47.3227836975452,-122.5880995,6,9,81,249
55,55,47.0794798975452,-123.0207959,0,8,45,61
56,56,47.1425696975452,-123.0940068,0,0,5,58
57,57,47.5776842975452,-122.1370505,24,198,500,500
58,58,47.5462426975452,-122.2758751,6,83,500,500
59,59,47.7084322975452,-122.3322502,21,68,500,500
60,60,47.7490672975452,-122.3451868,6,49,368,500
61,61,47.5416129975452,-122.6265391,5,13,23,434
62,62,47.8490120975452,-122.0116555,2,4,32,399
63,63,47.8472637975452,-122.118836,1,12,103,500
64,64,47.7648821975452,-122.3646583,4,44,222,500
65,65,47.9859769975452,-122.03764,0,6,26,124
66,66,48.0525207975452,-122.186268,2,9,26,100
67,67,48.4302542975452,-122.3653418,6,14,16,34
68,68,47.3230588975452,-122.2218235,4,27,98,344
69,69,48.9442170975452,-122.449191,1,1,3,33
70,70,47.1626200975452,-122.2926599,12,17,78,194
71,71,47.8827630975452,-122.2804117,5,32,100,500
72,72,47.9218347975452,-122.3007033,3,14,69,254
73,73,47.0374532975452,-122.800855,9,39,57,90
74,74,47.2554532975452,-122.4775168,43,77,108,239
75,75,47.5799156975452,-122.075005,1,72,279,500
76,76,47.6312503975452,-122.1540725,71,218,500,500
77,77,47.6648265975452,-122.3280501,29,282,500,500
78,78,47.9221907975452,-122.2274112,6,19,66,247
79,79,46.2940790975452,-119.2793752,2,8,23,23
80,80,46.3186836975452,-119.2733006,2,8,20,23
81,81,46.9993060975452,-120.5485852,5,5,5,5
82,82,46.9749480975452,-123.8413082,2,2,2,6
83,83,47.0022181975452,-120.5332538,5,5,5,5
84,84,47.2144543975452,-122.4724303,21,78,114,208
85,85,47.2423775975452,-122.4659711,54,79,113,233
86,86,47.5189860975452,-122.6091848,3,11,21,476
