gas_key,gas_name_x,gas_lat,gas_long,attr_cnt_1mile_x,attr_cnt_5mile_x,attr_name_x,attr_lat_x,attr_long_x,distance_to_nearest_attr_x,crime_coord_x,crime_county_x,crime_population_x,violent_crime_x,murder_nonnegligent_manslaughter_x,Rape1_x,Robbery_x,aggravated_assault_x,property_crime_x,Burglary_x,larceny_theft_x,motor_vehicle_theft_x,Arson_x,total_crime_x,exit_name_x,exit_lat_x,exit_long_x,distance_to_nearest_exit_x,exit_x,num_EV_in_2_miles_of_gas_x,num_EV_in_5_miles_of_gas_x,num_EV_in_10_miles_of_gas_x,num_EV_in_20_miles_of_gas_x,num_EV_in_50_miles_of_gas_x,Closest_EV_Station_name_x,Closest_EV_Station_lat_x,Closest_EV_Station_long_x,distance_to_closest_ev_station_x,nri_geoid_x,nri_county_x,nri_population_x,nri_build_value_x,nri_agri_value_x,nri_area_x,nri_risk_score_x,nri_risk_rating_x,nri_intpt_lat_x,nri_intpt_long_x,nri_zipcode_x,census_tract_area_x,census_tract_category_x,traff_cnt_10m_avg_x,traff_cnt_10m_max_x,traff_cnt_5m_avg_x,traff_cnt_5m_max_x,num_ev_2_charger_cnt_5mile,num_ev_fast_charger_cnt_5mile
0,24 Hour Express Fuel,48.3937603,-122.3298055,0,1,Skagit County Fairgrounds,48.4081452,-122.3401183,1.102,"48.3937602975452,-122.3298055",Skagit,75160,105,2,24,28,51,2343,278,1892,173,7,4903,225,48.395399,-122.3304605,0.1173,I5,3,14,16,36,291,IBEW Local 191,48.399012,-122.333583,0.4026,53057952600,Skagit,3821,440632000,4995570.341,6.549787996,25.81569494,Relatively High,48.4048148,-122.3405544,98273,0.002190669,2,21209.85915,72000,23733.80282,72000,24,5
1,76,47.1917123,-120.916225,0,1,KBHR Set,47.2232412,-120.9932245,4.2247,"47.1917122975452,-120.916225",Kittitas,24313,50,0,12,6,32,729,96,602,31,3,1561,85,47.1848016,-120.907187,0.6395,I90,2,4,4,4,67,Cle Elum,47.188833,-120.903139,0.6466,53037975103,,,,,,,,,,,0.000583936,2,11678.72727,36000,9901.025641,34000,4,14
2,76,47.2387039,-122.3575768,0,4,Wagon Trail,47.2754374,-122.3088968,3.4174,"47.2387038975452,-122.3575768",Pierce,471475,2836,19,285,654,1878,19355,3106,13641,2608,149,44531,137,47.2405897,-122.3632091,0.2949,I5,2,49,125,241,500,BJ's Bingo & Gaming,47.2439401,-122.3698252,0.6797,53053940002,Pierce,3945,942609000,230639.911,5.154739307,35.36071362,Relatively High,47.2491493,-122.3641906,98424,0.001613809,2,39766.9,219000,43117.85714,219000,94,15
7,76,47.5442953,-122.0365967,0,1,Fantastic Erratic,47.5302635,-122.0803656,2.2627,"47.5442952975452,-122.0365967",King,1868675,6725,53,729,2217,3726,68000,11346,48272,8382,193,149643,17,47.5428659,-122.0411447,0.2342,I90,22,30,257,500,500,Fred Meyer - Tesla Supercharger,47.548081,-122.039955,0.3052,53033032220,,,,,,,,,,,0.00073047,2,39040.7767,185000,32267.83333,111000,59,11
8,76,47.6060396,-122.3241049,13,18,Sky View Observatory,47.6045393,-122.3308714,0.3322,"47.6060395975452,-122.3241049",King,1868675,6725,53,729,2217,3726,68000,11346,48272,8382,193,149643,165,47.6037532,-122.3268247,0.2027,I5,220,276,500,500,500,600NINTH 600NINTH,47.605888,-122.324733,0.0311,53033008500,King,4341,1087730000,0,0.183133584,41.0169372,Very High,47.6049717,-122.3249555,98104,5.45E-05,2,47235.4,240000,63841.82482,240000,609,81
12,76,48.3405952,-122.3318182,0,1,Skagit County Fairgrounds,48.4081452,-122.3401183,4.688,"48.3405951975452,-122.3318182",Skagit,75160,105,2,24,28,51,2343,278,1892,173,7,4903,221,48.3373548,-122.3344939,0.2557,I5,0,1,17,42,464,IBEW Local 191,48.399012,-122.333583,4.0415,53057952700,Skagit,3674,421560000,38788953.63,63.02695187,39.94470503,Very High,48.3366692,-122.3101376,98273,0.020563831,0,22447.72727,80000,23911.94444,66000,1,0
13,76,48.3408743,-122.3410856,0,1,Skagit County Fairgrounds,48.4081452,-122.3401183,4.6534,"48.3408742975452,-122.3410856",Skagit,75160,105,2,24,28,51,2343,278,1892,173,7,4903,221,48.3453352,-122.3362734,0.3797,I5,0,1,17,42,462,IBEW Local 191,48.399012,-122.333583,4.0362,53057952700,Skagit,3674,421560000,38788953.63,63.02695187,39.94470503,Very High,48.3366692,-122.3101376,98273,0.020563831,0,22386.36364,80000,25946.36364,66000,1,0
14,76,46.2875509,-119.3490955,0,0,,,,,"46.2875508975452,-119.3490955",Benton,164317,375,4,83,61,227,3913,634,3008,271,26,8602,102,46.2530177,-119.3756282,2.7047,I82,0,8,14,23,34,Richland,46.26024,-119.309695,2.6678,53005010708,Benton,2440,189564000,528711.9838,3.295461265,12.77070565,Relatively Low,46.2931585,-119.3527554,99353,0.000812877,2,16848.13793,75000,16040.32258,72000,16,3
15,76,47.0829086,-119.8600033,0,0,,,,,"47.0829085975452,-119.8600033",Grant,22162,44,0,10,4,30,680,186,421,73,2,1450,149,47.0813853,-119.8657172,0.289,I90,0,0,1,3,47,Cave B Estate Winery & Resort - Tesla Destination,47.097647,-119.984624,5.9568,53025010700,Grant,2755,240849000,255675913.1,329.5852093,27.15983954,Relatively High,47.0474885,-119.6084876,99357,0.109659153,0,5819.75,16000,5685.172414,16000,0,0
16,76,46.7012352,-122.957653,0,0,,,,,"46.7012351975452,-122.957653",Lewis,27442,83,1,17,20,45,1072,150,856,66,1,2311,81,46.6994002,-122.9713656,0.6628,I5,3,4,5,6,194,TWIN TRANSIT MELLEN ST. 2,46.711291,-122.976524,1.1336,53041970700,Lewis,4184,393549000,509829.726,4.95754273,35.43333477,Relatively High,46.7044996,-122.9284675,98531,0.001510933,2,20729.61165,75000,20963.01587,75000,3,22
