,gas_key,gas_name,gas_lat,gas_long,attr_cnt_1mile,attr_cnt_5mile,attr_name,attr_lat,attr_long,distance_to_nearest_attr,crime_coord,crime_county,crime_population,violent_crime,murder_nonnegligent_manslaughter,Rape1,Robbery,aggravated_assault,property_crime,Burglary,larceny_theft,motor_vehicle_theft,Arson,total_crime,exit_name,exit_lat,exit_long,distance_to_nearest_exit,highway,num_EV_in_2_miles_of_gas,num_EV_in_5_miles_of_gas,num_EV_in_10_miles_of_gas,num_EV_in_20_miles_of_gas,num_EV_in_50_miles_of_gas,Closest_EV_Station_name,Closest_EV_Station_lat,Closest_EV_Station_long,distance_to_closest_ev_station,nri_geoid,nri_county,nri_population,nri_build_value,nri_agri_value,nri_area,nri_risk_score,nri_risk_rating,nri_intpt_lat,nri_intpt_long,nri_zipcode,census_tract_area,census_tract_category,traff_cnt_10m_avg,traff_cnt_10m_max,traff_cnt_5m_avg,traff_cnt_5m_max,num_ev_fast_charger_cnt_5mile,num_ev_2_charger_cnt_5mile
0,0,24 Hour Express Fuel,48.3937602975452,-122.3298055,0,1,Skagit County Fairgrounds,48.4081452,-122.3401183,1.102,"48.3937602975452,-122.3298055",Skagit,75160.0,105.0,2.0,24.0,28.0,51.0,2343.0,278.0,1892.0,173.0,7.0,4903.0,225,48.395399,-122.3304605,0.1173,I5,3,14,16,36,291,IBEW Local 191,48.399012,-122.333583,0.4026,53057952600.0,Skagit,3821.0,440632000.0,4995570.341433937,6.549787995759998,25.815694940178297,Relatively High,48.4048148,-122.3405544,98273.0,0.002190669233,2.0,21209.85915492957,72000,23733.802816901407,72000,5,24
1,1,76,47.1917122975452,-120.916225,0,1,KBHR Set,47.2232412,-120.9932245,4.2247,"47.1917122975452,-120.916225",Kittitas,24313.0,50.0,0.0,12.0,6.0,32.0,729.0,96.0,602.0,31.0,3.0,1561.0,85,47.1848016,-120.907187,0.6395,I90,2,4,4,4,67,Cle Elum,47.188833,-120.903139,0.6466,53037975103.0,,,,,,,,,,,0.0005839356224999,2.0,11678.727272727272,36000,9901.02564102564,34000,14,4
2,2,76,47.2387038975452,-122.3575768,0,4,Wagon Trail,47.2754374,-122.3088968,3.4174,"47.2387038975452,-122.3575768",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0,137,47.2405897,-122.3632091,0.2949,I5,2,49,125,241,500,BJ's Bingo & Gaming,47.2439401,-122.3698252,0.6797,53053940002.0,Pierce,3945.0,942609000.0,230639.9110298663,5.154739307338,35.3607136207458,Relatively High,47.2491493,-122.3641906,98424.0,0.0016138094644999,2.0,39766.9,219000,43117.857142857145,219000,15,94
3,3,76,48.4352268975452,-122.2913239,0,1,Skagit County Fairgrounds,48.4081452,-122.3401183,2.92,"48.4352268975452,-122.2913239",Skagit,75160.0,105.0,2.0,24.0,28.0,51.0,2343.0,278.0,1892.0,173.0,7.0,4903.0,,,,,,5,14,16,35,233,Skagit Valley College,48.436733,-122.312699,0.9865,53057952304.0,,,,,,,,,,,0.001532870277,2.0,20470.068493150684,72000,23101.204819277107,72000,5,24
4,4,76,47.8396080975452,-120.014523,0,0,,,,,"47.8396080975452,-120.014523",Chelan,34513.0,62.0,1.0,16.0,10.0,35.0,638.0,66.0,532.0,40.0,1.0,1401.0,,,,,,2,4,7,11,49,City of Chelan,47.840838,-120.018402,0.1992,53007960302.0,,,,,,,,,,,0.0183310110789994,0.0,5653.9473684210525,12000,6723.076923076923,12000,0,5
5,5,76,47.1395415975452,-122.0973429,0,1,Caboose,47.1033388,-122.0453014,3.5029,"47.1395415975452,-122.0973429",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0,,,,,,0,1,15,128,500,Bonney Lake Village Center Shopping Center,47.1665599,-122.1452964,2.9293,53053070204.0,Pierce,3598.0,173495000.0,277333.06606652244,1.998821868554,26.6108745155548,Relatively High,47.1424677,-122.1276898,98391.0,0.0006222093749999,2.0,27157.016129032258,104000,15800.0,44000,0,2
6,6,76,47.2347702975452,-122.5046745,0,11,The Eagles Nest,47.2212237,-122.534157,1.6721,"47.2347702975452,-122.5046745",Pierce,471475.0,2836.0,19.0,285.0,654.0,1878.0,19355.0,3106.0,13641.0,2608.0,149.0,44531.0,,,,,,21,77,100,219,500,TAC ES - SWM R & T CENTER 01,47.228029,-122.499407,0.5279,53053062801.0,Pierce,6130.0,503932000.0,1006.346039858234,1.451914563186,34.4568064289553,Relatively High,47.2220513,-122.4973661,98409.0,0.0004469477299998,2.0,41485.22857142857,219000,46624.71698113208,219000,15,153
7,7,76,47.5442952975452,-122.0365967,0,1,Fantastic Erratic,47.5302635,-122.0803656,2.2627,"47.5442952975452,-122.0365967",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,17,47.5428659,-122.0411447,0.2342,I90,22,30,257,500,500,Fred Meyer - Tesla Supercharger,47.548081,-122.039955,0.3052,53033032220.0,,,,,,,,,,,0.0007304701295,2.0,39040.77669902913,185000,32267.83333333333,111000,11,59
8,8,76,47.6060395975452,-122.3241049,13,18,Sky View Observatory,47.6045393,-122.3308714,0.3322,"47.6060395975452,-122.3241049",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,165,47.6037532,-122.3268247,0.2027,I5,220,276,500,500,500,600NINTH 600NINTH,47.605888,-122.324733,0.0311,53033008500.0,King,4341.0,1087730000.0,0.0,0.183133584028,41.01693720339456,Very High,47.6049717,-122.3249555,98104.0,5.449766199999237e-05,2.0,47235.4,240000,63841.824817518245,240000,81,609
9,9,76,47.6716835975452,-122.1148925,0,40,Microsoft Visitor Center,47.6426765,-122.1367218,2.2495,"47.6716835975452,-122.1148925",King,1868675.0,6725.0,53.0,729.0,2217.0,3726.0,68000.0,11346.0,48272.0,8382.0,193.0,149643.0,,,,,,20,113,343,500,500,Hilton Garden Inn Redmond,47.6733025,-122.1186641,0.2083,53033032331.0,,,,,,,,,,,0.0001713409185,2.0,43532.03125,193000,47565.05882352941,181000,27,220
