Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access
ELEC,City of Lacey - City Hall Parking,420 College St,"At 3rd Ave SE, next to police station",Lacey,WA,98503,,360-491-3214,E,,Public,24 hours daily,,,,,,4.0,,,Non-Networked,,200-9,47.044011,-122.822404,2021-01-14,33351,2022-06-07 10:50:57 UTC,LG,,,2018-01-15,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,,,,,,,,,,,False
ELEC,Avista Corp,1411 E Mission Ave,,Spokane,WA,99252,,509-489-0500,E,,Public,24 hours daily,,,,,1.0,2.0,,,Non-Networked,,GPS,47.673347,-117.388933,2021-12-09,35620,2022-02-10 19:42:29 UTC,P,,,2010-04-15,,,,,J1772 NEMA520,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,False
ELEC,Steam Plant Grill,159 S Lincoln St,,Spokane,WA,99201,,509-777-3900,E,,Public,24 hours daily,,,,,,4.0,,,Non-Networked,,200-8,47.654998,-117.425025,2021-12-09,35621,2022-02-10 19:42:29 UTC,P,,,2010-04-15,,,,,J1772,US,,,,Public,,public,,,RESTAURANT,,,,,,,Free,,,,,,,,,,False
ELEC,BELLEVUE BELLEVUE CH 1,450 110th Ave NE,,Bellevue,WA,98004,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.614744,-122.193162,2022-09-25,37181,2022-09-25 00:58:01 UTC,,,,2010-12-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,The Evergreen State College,2700 Evergreen Pkwy NW,Parking Lot C,Olympia,WA,98505,,360-867-6352,E,,Public,24 hours daily; permit required; pay lot; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,,1.0,,,Non-Networked,,GPS,47.071917,-122.976675,2022-06-14,37673,2022-06-14 16:24:51 UTC,SG,,,2009-12-15,,,,,J1772,US,,,,Public,,public,,,COLLEGE_CAMPUS,,,,,,,Free,,,,,,,,,,True
ELEC,KING COUNTY DOT ISSAQUAH P&R 2,1755 Highlands Dr NE,,Issaquah,WA,98027,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.545324,-122.0195,2022-09-25,38082,2022-09-25 01:12:45 UTC,,,,2008-02-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,UWB CASCADIA CC NORTH LEVEL 3 N,18500 Campus Way NE,,Bothell,WA,98011,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.761878,-122.191915,2022-09-25,38952,2022-09-25 00:54:40 UTC,,,,2011-03-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,CITY OF REDMOND CITY HALL DUAL,15670 NE 85th St,,Redmond,WA,98052,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.679224,-122.12995,2022-09-25,38959,2022-09-25 00:49:17 UTC,,,,2011-03-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,CITY OF REDMOND MOC #1 PUBLIC,18080 NE 76th St,,Redmond,WA,98052,,888-758-4389,E,,Public,24 hours daily,,,,,,2.0,,,ChargePoint Network,http://www.chargepoint.com/,GPS,47.672359,-122.099034,2022-09-25,38966,2022-09-25 00:49:16 UTC,,,,2011-03-15,,,,,J1772,US,,,,Public,,public,,,,,,,,,,,,,,,,,,,,
ELEC,Bellingham Nissan,1516 Iowa St,,Bellingham,WA,98229,,360-733-7300,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1.0,,Non-Networked,,200-9,48.755607,-122.454132,2020-06-09,39778,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,Advantage Nissan,5101 Auto Center Blvd,,Bremerton,WA,98312,,360-373-6300,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-9,47.562162,-122.684286,2020-06-09,39779,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,Burien Nissan,16042 1st Ave S,,Burien,WA,98148,,206-242-7070,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1.0,,Non-Networked,,200-9,47.458466,-122.333257,2022-02-10,39780,2022-02-10 19:42:29 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,Campbell-Nelson Nissan,24325 Highway 99,,Edmonds,WA,98026,,,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,,,Non-Networked,,GPS,47.778229,-122.344838,2020-07-13,39782,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,Olympia Nissan,2220 Carriage Dr SW,,Olympia,WA,98502,,360-352-8558,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,1.0,,Non-Networked,,200-9,47.031067,-122.930247,2022-03-07,39786,2022-03-07 19:49:53 UTC,P,,,2011-03-15,,,,,CHADEMO J1772 J1772COMBO,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,Bill Robertson Nissan,928 N 28th Ave,,Pasco,WA,99301,,509-545-3000,E,,Public - Call ahead,Dealership business hours,,,,,,1.0,,,Non-Networked,,200-9,46.236607,-119.128998,2020-06-09,39787,2021-03-11 23:22:17 UTC,P,,,2011-03-15,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
ELEC,Dan Wilder Nissan,53 Jetta Way,,Port Angeles,WA,98362,,360-452-9268,E,,Public - Call ahead,Dealership business hours,,,,,,2.0,1.0,,Non-Networked,,200-9,48.102863,-123.342273,2022-02-10,39788,2022-02-10 19:42:29 UTC,P,,,2011-03-15,,,,,CHADEMO J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,False
