GEOID,Latitude,X,AADT,AADT_max,AADT_avg,geometry,category
53033010102.0,,,,,,0.00045438485600011384,2
53053062901.0,,,,,,0.00011423588600001341,2
53053072305.0,,,,,,0.000483111952500133,2
53067990100.0,,,,,,8.506022915119154e-06,2
53077001504.0,,,,,,6.852521200001125e-05,2
53053062400.0,,,2.0,20000.0,18500.0,0.00026855256550005317,2
53063000700.0,,,1.0,29000.0,29000.0,0.000258380892500127,2
53033005803.0,,,,,,9.987077399998497e-05,2
53053062802.0,,,,,,0.00035480465400004256,2
53063012701.0,,,,,,0.0003175052609999534,2
53015001000.0,,1.0,9.0,21000.0,12700.0,9.105821400001047e-05,2
53033004901.0,,1.0,1.0,32000.0,32000.0,5.950655800004344e-05,2
53033008402.0,,1.0,,,,1.7387520999979827e-05,2
53033010001.0,,,,,,0.0002769152795000299,2
53011040714.0,,,1.0,28000.0,28000.0,0.00014192357100005073,2
53053061200.0,1.0,2.0,,,,0.00022489083050005701,2
53033023805.0,6.0,1.0,,,,3.9459680500025005e-05,2
53033027000.0,,,1.0,43000.0,43000.0,0.0002387977994999037,2
53063011103.0,,,1.0,43000.0,43000.0,0.0001574108040000673,2
53033029306.0,,2.0,1.0,28000.0,28000.0,0.0003046547730000344,2
53063011701.0,,,3.0,20000.0,12300.0,0.00031176090300007506,2
53061052708.0,,,,,,0.0003833190154999317,2
53033031400.0,,3.0,7.0,11000.0,8600.0,0.0007584959464999635,2
53009000900.0,3.0,1.0,2.0,9300.0,7850.0,0.00027761136275121967,2
53011040409.0,,1.0,,,,0.0009540249634999408,2
53061053606.0,,1.0,,,,0.060645168329000285,0
53061052010.0,,,,,,0.00019273498649998504,2
53033012000.0,,,,,,0.0001707839430000234,2
53017950500.0,,,17.0,56000.0,15182.35294117647,0.0003244828685000537,2
53017950200.0,1.0,1.0,15.0,2300.0,1001.3333333333334,0.2810011380025007,0
53033025803.0,,,,,,0.0001626025075000586,2
53033005000.0,,,1.0,5200.0,5200.0,9.098843900002934e-05,2
53061051916.0,,,1.0,118000.0,118000.0,0.0003553866574999541,2
53035990100.0,,,,,,0.00017712843060223402,2
53007960301.0,2.0,,9.0,8200.0,4245.555555555556,0.04068115793100045,0
53063012200.0,2.0,,11.0,105000.0,17990.909090909092,0.0012564742325001054,2
53053062902.0,,,,,,0.00024077967049995243,2
53033020600.0,,1.0,9.0,181000.0,62245.555555555555,0.0002377875499999828,2
53053071705.0,,,8.0,88000.0,36887.5,0.0002829365039999825,2
53031950702.0,2.0,4.0,11.0,3200.0,2163.6363636363635,0.4832965472703945,0
53061990100.0,,,,,,0.00013100016064158154,2
53033032800.0,3.0,2.0,7.0,7300.0,6228.571428571428,0.16975153578850083,0
53011042300.0,,,6.0,10000.0,8116.666666666667,0.0001401640615000333,2
53033005202.0,1.0,,5.0,189000.0,76380.0,3.440048450003174e-05,2
53033029901.0,,,7.0,185000.0,49857.142857142855,0.0004852538999999493,2
53053071415.0,,,,,,0.0006158162995000407,2
53061051401.0,,1.0,2.0,33000.0,29000.0,0.00018805211649995115,2
53015001501.0,1.0,,11.0,5500.0,2508.181818181818,0.04884857619499994,0
53027000401.0,,,1.0,19000.0,19000.0,0.07494850777600086,0
53033002900.0,,1.0,,,,0.00011854969949999804,2
53033030407.0,,3.0,16.0,174000.0,32643.75,0.0005547840285000735,2
53063002503.0,4.0,,1.0,21000.0,21000.0,0.00011513203600004205,2
53041971800.0,,,11.0,7900.0,2859.090909090909,0.13234538517550035,0
53053070311.0,,,1.0,22000.0,22000.0,0.0005913781955000136,2
53053062300.0,,,1.0,6000.0,6000.0,0.0002916749430000453,2
53033032006.0,,2.0,1.0,26000.0,26000.0,0.0009188411270001069,2
53009002400.0,2.0,,22.0,5200.0,2225.4545454545455,0.2451934613026197,0
53053061002.0,2.0,3.0,7.0,94000.0,34447.142857142855,0.0003612700984999768,2
53057952301.0,1.0,1.0,2.0,16000.0,13500.0,0.0003138532809998821,2
53033032005.0,,1.0,8.0,38000.0,17325.0,0.00075940561300007,2
53073000700.0,1.0,,6.0,69000.0,31033.333333333332,0.0003855653980000577,2
53047970800.0,1.0,,8.0,9200.0,6512.5,0.06621287781650018,0
53065951100.0,,,10.0,8700.0,3490.0,0.07411505709700006,0
53033029305.0,,,1.0,123000.0,123000.0,0.00034394679800006715,2
53033022606.0,,,,,,0.0003332501259999514,2
53053060904.0,1.0,,3.0,14000.0,12000.0,0.00023140919949995168,2
53047971000.0,1.0,1.0,12.0,5900.0,3441.6666666666665,0.19140776977500076,0
53053073200.0,1.0,2.0,16.0,8500.0,3401.875,0.06595188482449998,0
53033022901.0,,,,,,0.0001782933964999939,2
53015000400.0,,14.0,,,,0.00027677345100010165,2
53033032324.0,,,1.0,21000.0,21000.0,0.00024471726249999676,2
53033021000.0,1.0,,19.0,182000.0,47353.68421052631,0.00031553589200008147,2
53011041104.0,,,1.0,85000.0,85000.0,0.00021703527599997241,2
53045960202.0,1.0,,4.0,8600.0,4175.0,0.06087233570299988,0
53061040300.0,,,,,,0.00012645151849996895,2
53053061501.0,,4.0,,,,6.37278574999557e-05,2
53061041809.0,,,,,,0.0001299798615000003,2
53033007203.0,19.0,,2.0,39000.0,28000.0,6.907776199999522e-05,2
53035081400.0,,,5.0,18000.0,9900.0,0.0004177385624999746,2
53033028802.0,5.0,,4.0,9800.0,6475.0,0.00033654896799991773,2
53077001201.0,,,,,,0.00014902937999996152,2
53033011901.0,,,1.0,21000.0,21000.0,0.00020103744400002034,2
53041971900.0,,2.0,10.0,5100.0,3670.0,0.06674440175600013,0
53033010602.0,,,,,,0.00018451128553220261,2
53063010507.0,,,11.0,28000.0,14163.636363636364,0.0010900817000000518,2
53005010500.0,,,,,,0.00030247120150004805,2
53033029504.0,3.0,,,,,0.00022439881600008814,2
53033007502.0,1.0,3.0,,,,3.780395449999233e-05,2
53053072507.0,4.0,,3.0,77000.0,29566.666666666668,0.0005579948508900129,2
53053071206.0,1.0,,13.0,90000.0,35284.61538461538,0.0009325037509999039,2
53077000904.0,2.0,,,,,0.00036327916650008107,2
53063004602.0,,,,,,0.0001963319660000018,2
53033020302.0,,,,,,0.00015643028699994182,2
53047970900.0,5.0,2.0,7.0,5400.0,2914.285714285714,0.4672836492109174,0
53033025805.0,,,,,,0.00028997193950000544,2
53033005303.0,6.0,5.0,4.0,41000.0,36000.0,0.00038303656799996196,2
53061051927.0,,,1.0,25000.0,25000.0,0.0005535160004999886,2
53033007406.0,,,1.0,177000.0,177000.0,1.868073399999664e-05,2
53063010901.0,1.0,,2.0,27000.0,22000.0,0.0002367002615000337,2
53041970500.0,1.0,,3.0,68000.0,29966.666666666668,0.00031280728100004074,2
53007960203.0,1.0,,7.0,6200.0,4428.571428571428,0.22369567055799988,0
53033032223.0,,,,,,0.0002552731790000493,2
53053062501.0,2.0,,,,,0.00019678921499998025,2
53033001701.0,2.0,1.0,,,,0.00010693992700003606,2
53049990100.0,,,,,,2.0140496687499063e-05,2
53033001000.0,,,,,,0.00011428103400001235,2
53075000100.0,4.0,,2.0,18000.0,13800.0,0.0001726157824999468,2
53011041320.0,,,,,,0.00025584507150000447,2
53063012600.0,,,3.0,17000.0,15000.0,0.00031497206900002873,2
53065950101.0,,,7.0,8000.0,1697.142857142857,0.10391761595126978,0
53061051938.0,2.0,,,,,0.0004775434004998515,2
53011040703.0,2.0,,4.0,40000.0,35500.0,0.0005521213449999821,2
53063004002.0,,,3.0,96000.0,39666.666666666664,9.866559000005819e-05,2
53057951101.0,,,7.0,4900.0,2614.285714285714,0.14798175949749837,0
53011040412.0,,,3.0,31000.0,14800.0,0.0004571850499999948,2
53067012421.0,,,2.0,10000.0,9750.0,0.0015793116379999497,2
53011041208.0,,,19.0,145000.0,32594.736842105263,0.0004129538630898515,2
53015001700.0,,,5.0,56000.0,22896.0,0.04589811275350023,0
53055960103.0,,,,,,0.00784882314652594,1
53047970400.0,1.0,,13.0,6700.0,4730.7692307692305,0.07214392769500008,0
53009001200.0,,,4.0,35000.0,22000.0,0.0008007858976957875,2
53033000800.0,,,,,,0.00013642650900007124,2
53001950303.0,,,1.0,6300.0,6300.0,0.01400723220949965,0
53065950900.0,,,3.0,620.0,560.0,0.08796303174899998,0
53053063402.0,,,,,,0.00022873138549997838,2
53033021803.0,,2.0,3.0,39000.0,36666.666666666664,0.0003948675544999659,2
53033009000.0,,3.0,,,,0.00010151200499997451,2
53063001900.0,1.0,,1.0,23000.0,23000.0,0.00020128244700003833,2
53033003100.0,,,,,,0.0002645760664808353,2
53077001202.0,,,,,,0.00032755331199996315,2
53033030007.0,,,2.0,38000.0,35000.0,7.420155199996916e-05,2
53037975201.0,,,22.0,36000.0,15269.09090909091,0.12750452024800016,0
53033030802.0,1.0,,,,,0.00016604321049995592,2
53021020202.0,,,,,,0.00021276255200008002,2
53033032325.0,,,,,,0.0002657860690000007,2
53033027902.0,2.0,5.0,,,,0.00017778764749997022,2
53033022805.0,1.0,1.0,,,,0.00046636318649995173,2
53033032224.0,,,,,,0.00036091942050004236,2
53011040706.0,,,,,,0.00021918365850003178,2
53033031502.0,1.0,2.0,4.0,4800.0,2875.0,0.12295790691049993,0
53071920100.0,2.0,1.0,15.0,8500.0,4968.666666666667,0.171456674583447,0
53005010707.0,,,,,,0.0005196930695000676,2
53033025007.0,,,3.0,107000.0,37666.666666666664,0.0005005396755000297,2
53033022001.0,,,1.0,108000.0,108000.0,0.000539287307500151,2
53061051702.0,1.0,,,,,0.0002601407499999631,2
53033032706.0,1.0,30.0,47.0,41000.0,17767.44680851064,0.056116988874499715,0
53053062502.0,,,6.0,172000.0,35200.0,0.00014636598949999014,2
53063011500.0,,,,,,0.00013401468399997134,2
53001950200.0,,,37.0,12000.0,2252.162162162162,0.31076936372550024,0
53033008102.0,17.0,8.0,,,,7.14340237053421e-05,2
53053071307.0,,,,,,0.0006187657569999639,2
53049950400.0,,,18.0,9500.0,3355.5555555555557,0.17807162707933935,0
53063001500.0,,,,,,0.0002737367419999905,2
53043960200.0,,,12.0,6600.0,3115.0,0.17159214320350008,0
53009000600.0,2.0,4.0,9.0,6000.0,3444.4444444444443,0.13140743319131165,0
53015000801.0,,,1.0,15000.0,15000.0,0.0005565778894999391,2
53033022902.0,,,,,,0.0006257376530000606,2
53033010601.0,,,,,,0.00012949441650001494,2
53033027200.0,1.0,,10.0,46000.0,26590.0,0.0003961217375000069,2
53011041322.0,2.0,,3.0,17000.0,11200.0,0.00024264202499991476,2
53043960300.0,,1.0,18.0,4000.0,1819.4444444444443,0.23384879597650068,0
53057951700.0,,,1.0,19000.0,19000.0,0.00040346777150000593,2
53063002502.0,,,2.0,35000.0,23500.0,0.00012668693300003006,2
53011041007.0,,,1.0,9700.0,9700.0,0.00022545967750009266,2
53003960100.0,,1.0,8.0,4900.0,1561.25,0.15706644539538325,0
53033005402.0,,,,,,5.552390500002737e-05,2
53033009801.0,,,,,,0.00012236945599998332,2
53063001100.0,,,,,,0.00027511256499999145,2
53063004300.0,,,,,,0.0002816779600000076,2
53015000602.0,,,2.0,21000.0,19000.0,0.00026192925849996296,2
53073010407.0,1.0,1.0,9.0,21000.0,9515.555555555555,0.006161424678500157,1
53063000201.0,,,,,,0.0001495056184999249,2
53047970302.0,1.0,,2.0,3300.0,3300.0,0.04948135146739826,0
53033029309.0,,,4.0,123000.0,71250.0,0.0002699933849999476,2
53033010900.0,6.0,2.0,3.0,46000.0,25333.333333333332,0.0006934023585001077,2
53063011900.0,,,4.0,106000.0,56000.0,0.000370313122999975,2
53035091702.0,,,1.0,34000.0,34000.0,0.0002546900440000808,2
53033007902.0,2.0,3.0,,,,5.1639828499957365e-05,2
53033028100.0,,,5.0,65000.0,17800.0,0.0001872250594999626,2
53053060903.0,1.0,,,,,0.00027425701683326495,2
53033009702.0,,,,,,0.00026803648549995267,2
53075000700.0,,,20.0,5000.0,1545.0,0.10678080736478893,0
53061041606.0,,,1.0,34000.0,34000.0,0.00030859237850003487,2
53005010203.0,,,,,,0.0005081141629998629,2
53033008004.0,1.0,1.0,,,,2.9789384928418556e-05,2
53033000601.0,,,5.0,199000.0,119460.0,0.00017118046549999963,2
53011040713.0,,,,,,0.000688260967499972,2
53061052807.0,1.0,,,,,0.00032379688250004104,2
53033023807.0,45.0,2.0,1.0,7900.0,7900.0,0.00010721670050005469,2
53073000202.0,,1.0,2.0,24000.0,12800.0,0.0015382658255000316,2
53033029508.0,,,,,,0.000309300860999909,2
53011040415.0,,,,,,0.0004168483845000308,2
53033010302.0,,2.0,,,,7.558380149999764e-05,2
53053071211.0,,,,,,0.0002510515454999562,2
53057951102.0,1.0,,2.0,3000.0,2300.0,0.14008808791449937,0
53033010200.0,,,,,,0.0005835646489998988,2
53011041700.0,,,1.0,5900.0,5900.0,0.00012988579950000523,2
53061042006.0,1.0,,1.0,33000.0,33000.0,0.00031987828000007413,2
53033008700.0,,,,,,8.772651649998943e-05,2
53077940003.0,,,7.0,24000.0,6142.857142857143,0.5395782074400004,0
53011041332.0,,,,,,0.00018184750149999695,2
53033008002.0,3.0,1.0,,,,2.7458491000010703e-05,2
53061051933.0,,,1.0,32000.0,32000.0,0.00025077745199996116,2
53033001702.0,,,,,,0.00015342398800002188,2
53061052506.0,,,,,,0.00028754731299991725,2
53029970700.0,,1.0,1.0,21000.0,21000.0,0.0002572956387542818,2
53033024703.0,,,6.0,141000.0,71000.0,0.00044662045399996496,2
53033032222.0,,,,,,0.00015046059949999678,2
53047940200.0,,,19.0,8400.0,4004.7368421052633,0.21656512303300038,0
53033025201.0,,,10.0,145000.0,73600.0,0.00020169950399996156,2
53033020700.0,1.0,,1.0,36000.0,36000.0,0.0002060612269999612,2
53021020700.0,,1.0,12.0,800.0,485.0,0.16858111955949923,0
53071920701.0,,,,,,0.00021545936550000018,2
53061051926.0,,,8.0,51000.0,17050.0,0.0010185175724999511,2
53063012500.0,,,,,,0.00024208375349996984,2
53011042100.0,,,,,,0.00015178720100001122,2
53063013002.0,1.0,,2.0,88000.0,47100.0,0.0002599866999999288,2
53053061900.0,1.0,,4.0,163000.0,49050.0,0.00012398596150003474,2
53063004900.0,,,,,,0.00047895306749998944,2
53061052603.0,,,,,,0.000990442565500114,2
53061053700.0,1.0,,5.0,4100.0,3420.0,0.20491972577,0
53007960501.0,,,1.0,24000.0,24000.0,0.02446038464050003,0
53077002005.0,,,8.0,24000.0,11462.5,0.0005283656184999902,2
53033001900.0,2.0,2.0,6.0,166000.0,68416.66666666667,0.00019976103999993347,2
53057940402.0,,,,,,0.00014847690149998478,2
53033005307.0,,,,,,1.556947400002303e-05,2
