USPS	GEOID	ALAND	AWATER	ALAND_SQMI	AWATER_SQMI	INTPTLAT	INTPTLONG                                                                                                                             
WA	53001950100	1612463867	7701924	622.576	2.974	47.1505125	-118.3983272                                                                                                                                 
WA	53001950200	2632137474	2148452	1016.274	0.83	46.9252695	-118.5092655                                                                                                                                 
WA	53001950301	431966557	0	166.783	0.	46.8278007	-119.010979                                                                                                                                            
WA	53001950302	174575089	2213558	67.404	0.855	46.8550925	-119.2881592                                                                                                                                   
WA	53001950303	118609926	400491	45.796	0.155	46.7711697	-119.2691812                                                                                                                                    
WA	53001950400	3559985	0	1.375	0.	46.8324186	-119.1669461                                                                                                                                               
WA	53001950500	12385954	0	4.782	0.	46.8105682	-119.1599135                                                                                                                                              
WA	53003960100	1340245358	8187331	517.472	3.161	46.1474746	-117.1964025                                                                                                                                 
WA	53003960200	294305194	2158770	113.632	0.834	46.3442652	-117.3012796                                                                                                                                  
WA	53003960300	3886925	646772	1.501	0.25	46.4190278	-117.0501391                                                                                                                                        
WA	53003960400	1586747	0	0.613	0.	46.4127102	-117.0673121                                                                                                                                               
WA	53003960500	1875145	0	0.724	0.	46.4064931	-117.0497719                                                                                                                                               
WA	53003960600	5528540	298858	2.135	0.115	46.3925516	-117.0619177                                                                                                                                       
WA	53005010100	6310324	4195902	2.436	1.62	46.3162074	-119.2644955                                                                                                                                       
WA	53005010201	43547419	898047	16.814	0.347	46.3308577	-119.3360593                                                                                                                                     
WA	53005010203	4330874	0	1.672	0.	46.3274796	-119.2782855                                                                                                                                               
WA	53005010204	893271	0	0.345	0.	46.2989928	-119.2797038                                                                                                                                                
WA	53005010300	5920779	277119	2.286	0.107	46.2865938	-119.3089064                                                                                                                                       
WA	53005010400	1502237	0	0.58	0.	46.2814887	-119.2938376                                                                                                                                                
WA	53005010500	2603015	0	1.005	0.	46.2841983	-119.2819                                                                                                                                                  
WA	53005010600	7766784	1792213	2.999	0.692	46.2600123	-119.2649214                                                                                                                                      
WA	53005010701	38863837	459144	15.005	0.177	46.2773951	-119.4426007                                                                                                                                     
WA	53005010703	50025168	1325500	19.315	0.512	46.3387116	-119.4122826                                                                                                                                    
WA	53005010705	7489210	79644	2.892	0.031	46.2755733	-119.3441063                                                                                                                                        
WA	53005010707	4456782	0	1.721	0.	46.2760817	-119.3673715                                                                                                                                               
WA	53005010708	6891858	107678	2.661	0.042	46.2931585	-119.3527554                                                                                                                                       
WA	53005010807	97471773	0	37.634	0.	46.2051364	-119.4105274                                                                                                                                             
WA	53005010809	3852695	0	1.488	0.	46.2217889	-119.2356919                                                                                                                                               
WA	53005010810	5884868	30347	2.272	0.012	46.2080969	-119.2571024                                                                                                                                        
WA	53005010811	23194227	0	8.955	0.	46.220779	-119.3136901                                                                                                                                               
WA	53005010814	93428973	0	36.073	0.	46.1649269	-119.3112188                                                                                                                                             
WA	53005010815	16494268	0	6.368	0.	46.1885783	-119.2197313                                                                                                                                              
WA	53005010816	4019477	0	1.552	0.	46.2044214	-119.2192099                                                                                                                                               
WA	53005010817	5137592	0	1.984	0.	46.2338368	-119.2894844                                                                                                                                               
WA	53005010818	6456719	110453	2.493	0.043	46.2644068	-119.3199728                                                                                                                                       
WA	53005010819	5453531	154613	2.106	0.06	46.2423256	-119.2784689                                                                                                                                        
WA	53005010820	5539314	2005792	2.139	0.774	46.2429426	-119.2291973                                                                                                                                      
WA	53005010901	6702093	348321	2.588	0.134	46.2188569	-119.2106437                                                                                                                                       
WA	53005010902	3129888	0	1.208	0.	46.2077293	-119.1925833                                                                                                                                               
WA	53005011001	4343233	1377319	1.677	0.532	46.2219724	-119.1658741                                                                                                                                      
WA	53005011002	2963048	0	1.144	0.	46.2041758	-119.169451                                                                                                                                                
WA	53005011100	5165167	0	1.994	0.	46.1971984	-119.1489915                                                                                                                                               
WA	53005011201	1449817	0	0.56	0.	46.2065446	-119.1380967                                                                                                                                                
WA	53005011202	1051656	0	0.406	0.	46.2016874	-119.1260046                                                                                                                                               
WA	53005011300	5399487	1786865	2.085	0.69	46.2088971	-119.1124925                                                                                                                                       
WA	53005011401	2294217	0	0.886	0.	46.1944727	-119.1192815                                                                                                                                               
WA	53005011402	7313000	37468	2.824	0.014	46.1798938	-119.1155953                                                                                                                                        
WA	53005011501	52613799	17020203	20.314	6.572	46.1426002	-119.0203912                                                                                                                                   
WA	53005011504	13239323	0	5.112	0.	46.1544748	-119.0924925                                                                                                                                              
WA	53005011505	3905301	0	1.508	0.	46.1851267	-119.1701779                                                                                                                                               
WA	53005011506	80826685	0	31.207	0.	46.1245212	-119.1310788                                                                                                                                             
WA	53005011600	1547789604	90837515	597.605	35.073	45.9962707	-119.4842925                                                                                                                               
WA	53005011701	14935746	688085	5.767	0.266	46.2160513	-119.777795                                                                                                                                       
WA	53005011702	21389639	0	8.259	0.	46.196086	-119.7565468                                                                                                                                               
WA	53005011801	410493952	1549995	158.493	0.598	46.1940862	-119.6330244                                                                                                                                  
WA	53005011802	464915571	1708550	179.505	0.66	46.3904621	-119.8020852                                                                                                                                   
WA	53005011900	165095739	1044095	63.744	0.403	46.3233057	-119.5822333                                                                                                                                   
WA	53005012000	1140757890	26458771	440.449	10.216	46.5121696	-119.5581728                                                                                                                               
WA	53007960100	3050035412	86384699	1177.625	33.353	48.0774396	-120.5179641                                                                                                                              
WA	53007960201	405302149	2737870	156.488	1.057	47.5442031	-120.8770209                                                                                                                                  
WA	53007960202	296781774	0	114.588	0.	47.7126118	-120.6143088                                                                                                                                           
WA	53007960203	1843360337	17734063	711.725	6.847	47.8905965	-120.9500245                                                                                                                                
WA	53007960301	300227980	37929865	115.919	14.645	47.9050766	-120.2246208                                                                                                                                
WA	53007960302	147118334	5287764	56.803	2.042	47.9268859	-119.985575                                                                                                                                    
WA	53007960303	7245002	4440305	2.797	1.714	47.8541793	-120.0562004                                                                                                                                      
WA	53007960400	136945097	19189804	52.875	7.409	47.9336076	-120.1068123                                                                                                                                  
WA	53007960501	203810260	826882	78.692	0.319	47.5640216	-120.4920152                                                                                                                                    
WA	53007960502	628198420	721854	242.549	0.279	47.4496055	-120.6033715                                                                                                                                   
WA	53007960600	9113449	399351	3.519	0.154	47.5090841	-120.4640038                                                                                                                                       
WA	53007960700	136244192	6626088	52.604	2.558	47.5578432	-120.344706                                                                                                                                    
WA	53007960801	25064629	159054	9.678	0.061	47.4488218	-120.3840392                                                                                                                                      
WA	53007960803	1822247	158334	0.704	0.061	47.4342182	-120.3283463                                                                                                                                       
WA	53007960804	5200818	664754	2.008	0.257	47.4471886	-120.3315047                                                                                                                                       
WA	53007961001	913100	0	0.353	0.	47.4188785	-120.3216691                                                                                                                                                
WA	53007961002	2098104	513919	0.81	0.198	47.4225678	-120.3105412                                                                                                                                        
WA	53007961101	1531285	0	0.591	0.	47.4103287	-120.3099044                                                                                                                                               
WA	53007961102	5316194	770013	2.053	0.297	47.3948001	-120.3006087                                                                                                                                       
WA	53007961200	315469094	5108815	121.803	1.973	47.3204855	-120.2639238                                                                                                                                  
WA	53007961301	16733510	0	6.461	0.	47.3943902	-120.377887                                                                                                                                               
WA	53007961303	1902565	0	0.735	0.	47.4157487	-120.3349256                                                                                                                                               
WA	53007961304	25380996	0	9.8	0.	47.4130682	-120.4036167                                                                                                                                                
WA	53009000300	57464341	98801	22.187	0.038	47.9449872	-124.3707836                                                                                                                                      
WA	53009000600	1066278209	45243255	411.692	17.469	48.0035133	-123.8228536                                                                                                                               
WA	53009000700	12436402	11564300	4.802	4.465	48.1285236	-123.4699932                                                                                                                                    
WA	53009000800	3145131	0	1.214	0.	48.1177851	-123.4627164                                                                                                                                               
WA	53009000900	2320319	543601	0.896	0.21	48.1162537	-123.4428246                                                                                                                                        
WA	53009001000	1782367	1946998	0.688	0.752	48.116286	-123.4184984                                                                                                                                       
WA	53009001100	11069938	4358	4.274	0.002	48.0792075	-123.4393479                                                                                                                                        
