key,value
"Theft from Motor Vehicle",951
"Destruction/Damage/Vandalism of Property",889
"Burglary/Breaking & Entering",788
"Theft of Motor Vehicle Parts or Accessories",772
"All Other Larceny",741
"Stolen Property Offenses",417
"Drug/Narcotic Violations",210
"Theft From Building",106
"Drug Equipment Violations",85
"Identity Theft",83
"Aggravated Assault",70
"Simple Assault",68
"Credit Card/Automated Teller Machine Fraud",66
"Counterfeiting/Forgery",46
"Robbery",45
"Weapon Law Violations",37
"False Pretenses/Swindle/Confidence game",26
"Kidnapping/Abduction",23
"Impersonation",16
"Intimidation",10
"Arson",8
"Shoplifting",6
"Extortion/Blackmail",4
"Murder and Nonnegligent Manslaughter",3
"Purse-snatching",3
"Pocket-Picking",1
"Hacking/Computer Invasion",1
"Prostitution",1
"Purchasing Prostitution",1
"Fondling",0
"Bribery",0
"Welfare Fraud",0
"Theft from Coin-operated Machine or Device",0
"Statutory Rape",0
"Gambling Equipment Violation",0
"Incest",0
"Animal Cruelty",0
"Operating/Promoting/Assisting Gambling",0
"Sports Tampering",0
"Motor Vehicle Theft",0
"Negligent Manslaughter",0
"Wire Fraud",0
"Sexual Assault with an Object",0
"Embezzlement",0
"Pornography/Obscene Material",0
"Human Trafficking, Commercial Sex Acts",0
"Betting/Wagering",0
"Human Trafficking, Involuntary Servitude",0
"Assisting or Promoting Prostitution",0
"Sodomy",0
