key,value
"Residence Home",11355
"Parking Garage/Lot",6743
"Highway/Alley/Street/Sidewalk",6034
"Unknown",903
"Commercial/Office Building",595
"Hotel/Motel",454
"Auto Dealership",319
"Specialty Store",249
"Gas Station",245
"Rental Storage Facility",158
"Grocery Store",152
"Department/Discount Store",133
"Convenience Store",122
"Restaurant",114
"Park/Playground",99
"Farm Facility",98
"Construction Site",79
"Industrial Site",62
"Church/Synagogue/Temple/Mosque",61
"Drug Store/Doctors Office/Hospital",59
"Gambling Facility/Casino/Race Track",55
"Field/Woods",53
"Shopping Mall",50
"Air/Bus/Train Terminal",45
"Government/Public Building",41
"Bar/Nightclub",25
"School College/University",21
"School Elementary/Secondary",17
"Bank",14
"Dock/Wharf/Shipping Terminal",11
"Campground",9
"Lake/Waterway/Beach",9
"Community Center",7
"Mission/Homeless Shelter",7
"Abandoned Condemned/Structure",4
"Arena/Stadium/Fairgrounds",4
"Tribal Lands",4
"Amusement Park",3
"Daycare Facility",3
"Liquor Store",3
"Rest Area",3
"School/College",3
"ATM Separate From Bank",2
"Jail/Prison/Corrections Facility",2
"Cyberspace",0
"Military Base",0
